sensor_id,aircraft_id,event_timestamp,sensor_type,sensor_value,unit,anomaly_status
SN000000091,AC00948,2026-05-05 19:05:00,HydraulicPressure,2363.06,psi,Normal
SN000000092,AC00385,2026-03-19 04:00:00,Vibration,6.56,mm/s,Normal
SN000000093,AC01163,2026-02-19 04:13:00,Vibration,6.93,mm/s,Normal
SN000000094,AC00902,2026-02-18 18:30:00,HydraulicPressure,3098.47,psi,Normal
SN000000095,AC00148,2026-06-01 22:47:00,FuelFlow,672.66,kg/h,Normal
SN000000096,AC00780,2026-01-09 05:35:00,EngineTemp,112.85,C,Normal
SN000000097,AC00380,2026-01-17 19:26:00,CabinPressure,5.73,psi,Warning
SN000000098,AC00377,2026-05-08 02:44:00,EngineTemp,114.42,C,Normal
SN000000099,AC00313,2026-02-04 13:39:00,Vibration,7.18,mm/s,Normal
SN000000100,AC00692,2026-01-15 17:25:00,CabinPressure,8.17,psi,Normal
SN000000101,AC00171,2026-03-04 13:41:00,FuelFlow,2207.35,kg/h,Normal
SN000000102,AC00771,2026-03-19 09:48:00,FuelFlow,1908.3,kg/h,Normal
SN000000103,AC01068,2026-02-22 08:55:00,EngineTemp,81.49,C,Normal
SN000000104,AC00976,2026-01-07 04:24:00,EngineTemp,78.67,C,Warning
SN000000105,AC00410,2026-05-14 04:25:00,HydraulicPressure,2276.79,psi,Normal
SN000000106,AC00149,2026-02-13 17:48:00,Vibration,5.74,mm/s,Normal
SN000000107,AC00363,2026-04-15 20:43:00,CabinPressure,8.45,psi,Normal
SN000000108,AC00677,2026-01-01 06:36:00,EngineTemp,94.18,C,Normal
SN000000109,AC00380,2026-04-19 03:56:00,HydraulicPressure,2708.41,psi,Normal
SN000000110,AC00126,2026-01-17 13:59:00,HydraulicPressure,2726.06,psi,Normal
SN000000111,AC00057,2026-02-15 00:13:00,CabinPressure,7.14,psi,Normal
SN000000112,AC00803,2026-05-22 06:36:00,EngineTemp,100.31,C,Normal
SN000000113,AC00756,2026-04-24 13:44:00,EngineTemp,91.15,C,Normal
SN000000114,AC00247,2026-05-28 11:32:00,Vibration,2.99,mm/s,Normal
SN000000115,AC00692,2026-02-26 13:22:00,HydraulicPressure,2589.17,psi,Normal
SN000000116,AC01164,2026-06-26 10:00:00,EngineTemp,80.43,C,Normal
SN000000117,AC00087,2026-05-15 20:04:00,CabinPressure,8.35,psi,Normal
SN000000118,AC01192,2026-06-04 12:07:00,FuelFlow,886.6,kg/h,Normal
SN000000119,AC00971,2026-03-14 13:34:00,HydraulicPressure,2556.06,psi,Normal
SN000000120,AC00612,2026-05-12 20:33:00,CabinPressure,8.37,psi,Normal
SN000000121,AC00598,2026-01-23 04:27:00,EngineTemp,86.4,C,Normal
SN000000122,AC00028,2026-01-03 05:00:00,HydraulicPressure,1820.54,psi,Normal
SN000000123,AC00762,2026-05-24 07:11:00,Vibration,6.95,mm/s,Warning
SN000000124,AC00398,2026-01-12 14:46:00,OilPressure,73.24,psi,Normal
SN000000125,AC01166,2026-04-26 14:56:00,EngineTemp,108.21,C,Normal
SN000000126,AC00332,2026-04-05 18:03:00,OilPressure,119.72,psi,Critical
SN000000127,AC00352,2026-01-12 07:30:00,CabinPressure,7.15,psi,Normal
SN000000128,AC00710,2026-05-21 04:34:00,HydraulicPressure,3174.48,psi,Normal
SN000000129,AC01071,2026-03-12 09:51:00,FuelFlow,1962.73,kg/h,Warning
SN000000130,AC00460,2026-01-06 09:12:00,HydraulicPressure,2112.45,psi,Normal
SN000000131,AC01043,2026-01-14 14:24:00,FuelFlow,781.97,kg/h,Normal
SN000000132,AC00983,2026-04-29 07:27:00,CabinPressure,8.38,psi,Normal
SN000000133,AC00282,2026-01-25 12:12:00,OilPressure,79.03,psi,Normal
SN000000134,AC00392,2026-03-09 22:32:00,OilPressure,42.23,psi,Normal
SN000000135,AC01051,2026-05-08 16:07:00,OilPressure,34.27,psi,Normal
SN000000136,AC01108,2026-03-14 13:13:00,Vibration,1.03,mm/s,Normal
SN000000137,AC00773,2026-01-21 08:28:00,FuelFlow,509.67,kg/h,Normal
SN000000138,AC01088,2026-05-20 04:35:00,CabinPressure,8.06,psi,Normal
SN000000139,AC00339,2026-06-21 18:36:00,Vibration,6.93,mm/s,Normal
SN000000140,AC00023,2026-02-27 14:20:00,FuelFlow,1332.41,kg/h,Normal
SN000000141,AC00651,2026-02-14 21:49:00,Vibration,7.06,mm/s,Normal
SN000000142,AC00568,2026-05-22 08:54:00,CabinPressure,8.21,psi,Normal
SN000000143,AC00081,2026-06-13 03:10:00,EngineTemp,92.11,C,Normal
SN000000144,AC01059,2026-02-04 16:30:00,EngineTemp,96.11,C,Normal
SN000000145,AC00470,2026-07-01 23:41:00,HydraulicPressure,1919.42,psi,Normal
SN000000146,AC00567,2026-06-16 18:19:00,FuelFlow,1716.98,kg/h,Normal
SN000000147,AC00740,2026-05-28 05:14:00,EngineTemp,82.25,C,Normal
SN000000148,AC00093,2026-05-01 22:08:00,FuelFlow,1807.32,kg/h,Normal
SN000000149,AC00776,2026-03-11 05:02:00,EngineTemp,81.31,C,Normal
SN000000150,AC00353,2026-05-17 03:34:00,CabinPressure,7.56,psi,Normal
SN000000151,AC00009,2026-03-23 00:08:00,CabinPressure,9.36,psi,Warning
SN000000152,AC00441,2026-06-21 16:59:00,FuelFlow,1332.81,kg/h,Normal
SN000000153,AC00257,2026-05-05 22:14:00,HydraulicPressure,2636.26,psi,Normal
SN000000154,AC00397,2026-06-30 08:46:00,OilPressure,72.25,psi,Normal
SN000000155,AC00912,2026-05-29 01:03:00,CabinPressure,8.44,psi,Normal
SN000000156,AC01081,2026-03-08 09:28:00,Vibration,4.07,mm/s,Normal
SN000000157,AC00822,2026-05-04 09:12:00,EngineTemp,109.02,C,Normal
SN000000158,AC00569,2026-06-30 19:06:00,OilPressure,41.34,psi,Normal
SN000000159,AC00506,2026-02-19 00:31:00,HydraulicPressure,1997.96,psi,Normal
SN000000160,AC00291,2026-02-12 18:47:00,Vibration,2.64,mm/s,Warning
SN000000161,AC00424,2026-04-18 23:51:00,CabinPressure,8.19,psi,Normal
SN000000162,AC00252,2026-05-29 15:15:00,FuelFlow,696.51,kg/h,Normal
SN000000163,AC00326,2026-06-09 00:50:00,HydraulicPressure,2852.54,psi,Normal
SN000000164,AC00568,2026-06-01 10:29:00,EngineTemp,86.76,C,Normal
SN000000165,AC00108,2026-05-13 20:46:00,Vibration,4.8,mm/s,Normal
SN000000166,AC00867,2026-06-26 21:04:00,EngineTemp,87.07,C,Normal
SN000000167,AC00204,2026-06-25 00:43:00,Vibration,5.49,mm/s,Normal
SN000000168,AC01052,2026-04-22 02:32:00,Vibration,1.01,mm/s,Normal
SN000000169,AC01139,2026-04-09 02:40:00,Vibration,5.36,mm/s,Normal
SN000000170,AC00561,2026-01-13 20:48:00,CabinPressure,7.77,psi,Normal
SN000000171,AC00279,2026-05-21 22:52:00,OilPressure,47.6,psi,Normal
SN000000172,AC00867,2026-05-05 20:50:00,FuelFlow,740.11,kg/h,Normal
SN000000173,AC00005,2026-05-13 06:06:00,HydraulicPressure,3111.14,psi,Normal
SN000000174,AC00530,2026-03-22 20:04:00,CabinPressure,7.84,psi,Normal
SN000000175,AC00830,2026-05-14 20:43:00,FuelFlow,2841.24,kg/h,Normal
SN000000176,AC01101,2026-03-14 10:28:00,CabinPressure,7.95,psi,Normal
SN000000177,AC01067,2026-01-07 20:02:00,EngineTemp,90.36,C,Normal
SN000000178,AC00357,2026-06-05 19:49:00,Vibration,1.34,mm/s,Normal
SN000000179,AC00435,2026-06-30 10:27:00,OilPressure,52.98,psi,Normal
SN000000180,AC01136,2026-03-28 02:29:00,EngineTemp,94.7,C,Normal
SN000000181,AC00368,2026-01-01 15:42:00,FuelFlow,618.85,kg/h,Normal
SN000000182,AC00667,2026-05-04 17:06:00,FuelFlow,777.21,kg/h,Normal
SN000000183,AC00385,2026-03-14 13:41:00,HydraulicPressure,2692.35,psi,Normal
SN000000184,AC00058,2026-04-18 07:26:00,FuelFlow,2831.83,kg/h,Normal
SN000000185,AC00795,2026-04-06 21:09:00,FuelFlow,2055.7,kg/h,Normal
SN000000186,AC00549,2026-01-27 12:16:00,EngineTemp,72.16,C,Warning
SN000000187,AC00707,2026-01-29 17:46:00,CabinPressure,4.35,psi,Critical
SN000000188,AC00637,2026-06-10 21:04:00,Vibration,1.3,mm/s,Warning
SN000000189,AC00413,2026-03-21 23:50:00,HydraulicPressure,1971.92,psi,Normal
SN000000190,AC00123,2026-06-23 07:43:00,FuelFlow,1853.59,kg/h,Normal
SN000000191,AC00786,2026-03-22 16:48:00,EngineTemp,102.65,C,Normal
SN000000192,AC00503,2026-04-04 17:09:00,FuelFlow,1334.52,kg/h,Normal
SN000000193,AC00783,2026-05-09 05:10:00,FuelFlow,571.69,kg/h,Normal
SN000000194,AC00239,2026-06-09 13:58:00,CabinPressure,7.43,psi,Normal
SN000000195,AC00288,2026-02-17 18:52:00,HydraulicPressure,2357.07,psi,Normal
SN000000196,AC00321,2026-04-19 13:16:00,OilPressure,59.6,psi,Warning
SN000000197,AC00575,2026-03-24 10:53:00,CabinPressure,8.21,psi,Normal
SN000000198,AC00397,2026-06-05 19:20:00,EngineTemp,95.38,C,Normal
SN000000199,AC00281,2026-04-13 18:20:00,EngineTemp,118.47,C,Warning
SN000000200,AC01054,2026-03-01 17:41:00,Vibration,6.84,mm/s,Normal
SN000000201,AC01068,2026-01-01 04:39:00,OilPressure,47.3,psi,Normal
SN000000202,AC01099,2026-04-21 11:19:00,FuelFlow,1492.05,kg/h,Normal
SN000000203,AC00261,2026-03-21 11:42:00,OilPressure,35.38,psi,Normal
SN000000204,AC00703,2026-05-30 00:04:00,EngineTemp,69.49,C,Warning
SN000000205,AC00676,2026-04-14 10:50:00,HydraulicPressure,1849.07,psi,Normal
SN000000206,AC00917,2026-02-06 08:51:00,OilPressure,49.77,psi,Normal
SN000000207,AC00672,2026-06-17 05:19:00,EngineTemp,106.62,C,Normal
SN000000208,AC00873,2026-05-31 23:22:00,HydraulicPressure,2375.17,psi,Normal
SN000000209,AC00471,2026-05-19 11:31:00,OilPressure,57.3,psi,Normal
SN000000210,AC01108,2026-04-01 16:06:00,Vibration,4.3,mm/s,Normal
SN000000211,AC00533,2026-06-08 20:38:00,HydraulicPressure,2425.72,psi,Normal
SN000000212,AC00987,2026-04-13 21:47:00,OilPressure,39.63,psi,Normal
SN000000213,AC00118,2026-05-12 18:09:00,HydraulicPressure,2032.95,psi,Normal
SN000000214,AC00981,2026-01-11 06:25:00,FuelFlow,2689.19,kg/h,Normal
SN000000215,AC00924,2026-06-04 01:14:00,Vibration,5.95,mm/s,Normal
SN000000216,AC00430,2026-04-09 20:29:00,OilPressure,80.39,psi,Normal
SN000000217,AC00618,2026-02-05 01:24:00,EngineTemp,83.65,C,Normal
SN000000218,AC00736,2026-04-13 12:42:00,EngineTemp,113.35,C,Normal
SN000000219,AC00903,2026-05-24 07:38:00,OilPressure,43.75,psi,Normal
SN000000220,AC00566,2026-01-18 05:03:00,EngineTemp,108.87,C,Normal
SN000000221,AC00652,2026-03-24 05:44:00,CabinPressure,8.36,psi,Normal
SN000000222,AC01147,2026-01-02 13:16:00,Vibration,2.21,mm/s,Normal
SN000000223,AC00874,2026-03-25 15:20:00,Vibration,7.85,mm/s,Normal
SN000000224,AC00553,2026-01-18 10:24:00,HydraulicPressure,2917.06,psi,Normal
SN000000225,AC00135,2026-05-05 04:22:00,CabinPressure,5.87,psi,Warning
SN000000226,AC00173,2026-06-28 22:52:00,CabinPressure,8.49,psi,Normal
SN000000227,AC00161,2026-01-17 17:15:00,OilPressure,78.15,psi,Normal
SN000000228,AC00585,2026-03-17 10:33:00,FuelFlow,1091.19,kg/h,Normal
SN000000229,AC00243,2026-02-22 13:39:00,Vibration,3.19,mm/s,Normal
SN000000230,AC00270,2026-01-30 18:02:00,EngineTemp,95.66,C,Normal
SN000000231,AC00839,2026-01-18 16:36:00,Vibration,3.49,mm/s,Warning
SN000000232,AC00459,2026-03-23 20:33:00,FuelFlow,1297.11,kg/h,Normal
SN000000233,AC00522,2026-05-25 14:24:00,EngineTemp,107.7,C,Normal
SN000000234,AC00783,2026-06-05 07:00:00,CabinPressure,8.24,psi,Normal
SN000000235,AC00658,2026-06-02 13:51:00,HydraulicPressure,1916.05,psi,Normal
SN000000236,AC00605,2026-04-07 01:45:00,EngineTemp,107.03,C,Normal
SN000000237,AC01126,2026-06-06 03:36:00,OilPressure,54.81,psi,Normal
SN000000238,AC00924,2026-05-01 02:55:00,EngineTemp,95.54,C,Normal
SN000000239,AC00026,2026-02-23 07:09:00,HydraulicPressure,2733.57,psi,Normal
SN000000240,AC00123,2026-03-24 21:13:00,EngineTemp,114.54,C,Normal
SN000000241,AC00940,2026-04-18 19:09:00,FuelFlow,825.83,kg/h,Normal
SN000000242,AC00077,2026-06-10 18:26:00,OilPressure,73.4,psi,Normal
SN000000243,AC00672,2026-06-03 11:15:00,FuelFlow,2405.4,kg/h,Normal
SN000000244,AC01099,2026-06-10 01:36:00,Vibration,0.25,mm/s,Normal
SN000000245,AC00816,2026-02-16 15:26:00,Vibration,1.45,mm/s,Normal
SN000000246,AC01008,2026-04-01 17:54:00,FuelFlow,1632.98,kg/h,Normal
SN000000247,AC00080,2026-02-16 04:45:00,EngineTemp,94.97,C,Normal
SN000000248,AC00315,2026-06-20 17:49:00,CabinPressure,5.37,psi,Warning
SN000000249,AC00966,2026-02-03 03:03:00,HydraulicPressure,2799.73,psi,Normal
SN000000250,AC01163,2026-04-28 20:27:00,HydraulicPressure,2684.48,psi,Normal
SN000000251,AC00073,2026-01-29 18:09:00,HydraulicPressure,2869.02,psi,Normal
SN000000252,AC00935,2026-04-19 03:26:00,OilPressure,64.73,psi,Critical
SN000000253,AC00578,2026-02-12 02:56:00,FuelFlow,2453.38,kg/h,Normal
SN000000254,AC00250,2026-06-30 08:10:00,EngineTemp,95.93,C,Normal
SN000000255,AC01153,2026-06-02 16:53:00,CabinPressure,8.04,psi,Normal
SN000000256,AC01111,2026-06-27 21:21:00,Vibration,3.32,mm/s,Normal
SN000000257,AC00607,2026-04-29 18:10:00,OilPressure,53.33,psi,Normal
SN000000258,AC00721,2026-06-14 21:32:00,OilPressure,28.14,psi,Normal
SN000000259,AC00293,2026-02-13 20:03:00,CabinPressure,8.56,psi,Normal
SN000000260,AC00702,2026-06-24 15:58:00,FuelFlow,2583.37,kg/h,Normal
SN000000261,AC00628,2026-04-07 16:24:00,OilPressure,56.45,psi,Normal
SN000000262,AC00943,2026-05-25 08:59:00,OilPressure,25.5,psi,Normal
SN000000263,AC00269,2026-01-26 10:55:00,Vibration,0.75,mm/s,Normal
SN000000264,AC00391,2026-05-08 09:11:00,HydraulicPressure,2273.73,psi,Warning
SN000000265,AC00651,2026-03-08 08:08:00,EngineTemp,97.34,C,Normal
SN000000266,AC01052,2026-01-03 10:10:00,Vibration,3.42,mm/s,Normal
SN000000267,AC00532,2026-02-01 10:18:00,EngineTemp,79.79,C,Normal
SN000000268,AC00456,2026-05-10 23:13:00,OilPressure,40.73,psi,Normal
SN000000269,AC00319,2026-06-06 03:48:00,HydraulicPressure,2389.49,psi,Normal
SN000000270,AC00792,2026-03-06 10:48:00,EngineTemp,96.02,C,Normal
SN000000271,AC01092,2026-04-18 06:15:00,OilPressure,78.72,psi,Normal
SN000000272,AC00614,2026-01-27 00:03:00,Vibration,2.53,mm/s,Normal
SN000000273,AC00234,2026-01-12 10:19:00,CabinPressure,8.51,psi,Normal
SN000000274,AC00487,2026-02-20 12:43:00,HydraulicPressure,1815.82,psi,Normal
SN000000275,AC00086,2026-03-15 22:45:00,OilPressure,30.48,psi,Normal
SN000000276,AC00061,2026-01-15 05:21:00,Vibration,2.76,mm/s,Normal
SN000000277,AC00596,2026-06-14 05:14:00,CabinPressure,7.6,psi,Normal
SN000000278,AC00396,2026-05-10 13:34:00,FuelFlow,2576.5,kg/h,Normal
SN000000279,AC00460,2026-05-01 01:59:00,HydraulicPressure,3111.97,psi,Normal
SN000000280,AC00804,2026-01-03 10:22:00,EngineTemp,108.54,C,Normal
SN000000281,AC00435,2026-03-24 19:55:00,FuelFlow,1258.48,kg/h,Normal
SN000000282,AC00014,2026-02-05 21:49:00,HydraulicPressure,2373.52,psi,Normal
SN000000283,AC01093,2026-01-28 16:26:00,FuelFlow,1694.94,kg/h,Normal
SN000000284,AC01008,2026-05-10 23:13:00,EngineTemp,107.36,C,Normal
SN000000285,AC00495,2026-03-15 17:40:00,CabinPressure,8.19,psi,Normal
SN000000286,AC00838,2026-06-20 22:11:00,EngineTemp,94.82,C,Normal
SN000000287,AC00356,2026-03-03 20:15:00,FuelFlow,1044.77,kg/h,Normal
SN000000288,AC00764,2026-05-31 06:58:00,EngineTemp,109.82,C,Normal
SN000000289,AC01080,2026-04-18 18:54:00,FuelFlow,1458.94,kg/h,Normal
SN000000290,AC00949,2026-03-27 14:23:00,FuelFlow,1256.28,kg/h,Normal
SN000000291,AC00150,2026-03-13 14:05:00,Vibration,4.38,mm/s,Normal
SN000000292,AC01128,2026-04-27 13:32:00,EngineTemp,85.36,C,Normal
SN000000293,AC00188,2026-02-06 22:49:00,Vibration,6.42,mm/s,Normal
SN000000294,AC00204,2026-05-12 04:39:00,HydraulicPressure,2538.33,psi,Normal
SN000000295,AC00166,2026-05-30 05:13:00,EngineTemp,108.61,C,Normal
SN000000296,AC00329,2026-03-04 05:37:00,OilPressure,39.89,psi,Normal
SN000000297,AC00820,2026-01-12 00:25:00,OilPressure,55.82,psi,Normal
SN000000298,AC00190,2026-04-19 02:36:00,HydraulicPressure,2663.48,psi,Warning
SN000000299,AC01077,2026-01-16 14:32:00,EngineTemp,90.53,C,Normal
SN000000300,AC00666,2026-03-07 07:59:00,EngineTemp,75.47,C,Normal
SN000000301,AC00163,2026-04-03 21:54:00,EngineTemp,134.57,C,Warning
SN000000302,AC00077,2026-03-28 21:29:00,CabinPressure,8.3,psi,Normal
SN000000303,AC00968,2026-03-22 08:30:00,EngineTemp,93.46,C,Normal
SN000000304,AC00881,2026-05-08 01:37:00,CabinPressure,6.44,psi,Warning
SN000000305,AC00311,2026-05-09 08:31:00,EngineTemp,112.42,C,Normal
SN000000306,AC00159,2026-02-07 22:10:00,CabinPressure,8.01,psi,Normal
SN000000307,AC00835,2026-05-05 17:44:00,Vibration,1.82,mm/s,Normal
SN000000308,AC01118,2026-03-01 03:19:00,OilPressure,26.14,psi,Normal
SN000000309,AC00484,2026-01-13 07:45:00,EngineTemp,100.54,C,Normal
SN000000310,AC01112,2026-02-26 02:01:00,EngineTemp,78.81,C,Normal
SN000000311,AC01165,2026-02-05 10:18:00,HydraulicPressure,2345.01,psi,Normal
SN000000312,AC00256,2026-02-01 09:40:00,HydraulicPressure,3141.73,psi,Normal
SN000000313,AC00851,2026-02-11 06:19:00,CabinPressure,8.0,psi,Normal
SN000000314,AC00644,2026-02-10 09:55:00,CabinPressure,7.25,psi,Normal
SN000000315,AC00682,2026-06-16 04:32:00,EngineTemp,81.97,C,Normal
SN000000316,AC00918,2026-06-01 01:58:00,FuelFlow,1154.05,kg/h,Normal
SN000000317,AC00470,2026-03-14 18:24:00,FuelFlow,856.1,kg/h,Normal
SN000000318,AC00054,2026-05-23 19:11:00,CabinPressure,8.21,psi,Normal
SN000000319,AC00131,2026-06-04 23:15:00,FuelFlow,1471.38,kg/h,Normal
SN000000320,AC00154,2026-02-20 17:16:00,Vibration,2.55,mm/s,Normal
SN000000321,AC00048,2026-02-05 17:48:00,HydraulicPressure,2064.07,psi,Normal
SN000000322,AC00638,2026-03-11 13:47:00,EngineTemp,82.88,C,Normal
SN000000323,AC00692,2026-05-24 02:46:00,Vibration,6.02,mm/s,Normal
SN000000324,AC00039,2026-03-24 03:26:00,OilPressure,38.61,psi,Normal
SN000000325,AC00675,2026-01-27 20:34:00,HydraulicPressure,2987.61,psi,Normal
SN000000326,AC00583,2026-02-09 22:47:00,FuelFlow,1550.83,kg/h,Normal
SN000000327,AC00600,2026-02-23 09:21:00,HydraulicPressure,2625.1,psi,Normal
