flight_id,flight_number,airline,aircraft_id,departure_airport,arrival_airport,scheduled_departure,duration_minutes,distance_km,passengers,status,delay_minutes
FL0000023,AZ9879,AeroSky,AC00012,BOS,BLR,2026-04-03 20:21:00,203,904,121,Completed,10
FL0000024,AZ3112,PacificAero,AC01005,SIN,LHR,2026-04-20 15:31:00,119,5457,95,Delayed,56
FL0000025,AZ5537,SkyBridge,AC00852,JFK,DEL,2026-02-28 00:36:00,139,5974,76,Completed,6
FL0000026,AZ7401,GlobalWings,AC01087,SEA,ATL,2026-03-21 12:48:00,888,394,58,Scheduled,11
FL0000027,AZ8951,AtlanticJet,AC00082,BLR,LHR,2026-03-30 18:35:00,435,2107,98,Scheduled,8
FL0000028,AZ5348,PacificAero,AC01054,ATL,LAX,2026-05-17 12:26:00,89,5106,103,Completed,6
FL0000029,AZ7050,AeroSky,AC01102,JFK,ORD,2026-03-02 22:43:00,112,3703,104,Completed,6
FL0000030,AZ720,AeroSky,AC00148,DFW,BOS,2026-06-08 11:09:00,69,7773,225,Delayed,84
FL0000031,AZ6457,NovaAir,AC00516,JFK,LAX,2026-03-06 19:19:00,886,3979,78,Completed,13
FL0000032,AZ9694,AeroSky,AC00648,LHR,SFO,2026-06-07 15:49:00,166,346,185,Completed,2
FL0000033,AZ4712,NovaAir,AC00733,DXB,BLR,2026-01-27 10:17:00,850,5187,100,Completed,2
FL0000034,AZ4983,AtlanticJet,AC00971,SFO,DEN,2026-01-12 05:18:00,184,6656,237,Completed,4
FL0000035,AZ9483,PacificAero,AC00023,BLR,SIN,2026-05-16 20:27:00,189,2269,5,Scheduled,0
FL0000036,AZ8497,GlobalWings,AC00625,SFO,BOS,2026-01-31 23:50:00,788,5883,108,Cancelled,13
FL0000037,AZ4862,AtlanticJet,AC00518,ORD,DFW,2026-03-22 09:16:00,732,1141,280,Completed,2
FL0000038,AZ3942,AeroSky,AC00405,JFK,SEA,2026-02-05 18:06:00,383,6101,150,Delayed,171
FL0000039,AZ9366,PacificAero,AC00397,ATL,LHR,2026-01-26 09:59:00,381,5258,176,Completed,4
FL0000040,AZ5989,GlobalWings,AC00878,SEA,DEL,2026-04-26 04:09:00,297,3879,273,Completed,8
FL0000041,AZ2979,AtlanticJet,AC00983,LHR,SIN,2026-05-01 17:14:00,838,5254,302,Completed,3
FL0000042,AZ405,PacificAero,AC00287,BOS,JFK,2026-04-13 04:03:00,796,1502,108,Completed,2
FL0000043,AZ2535,SkyBridge,AC00436,LHR,LAX,2026-05-28 12:07:00,601,7984,186,Delayed,198
FL0000044,AZ4013,PacificAero,AC00275,SFO,DFW,2026-04-16 22:47:00,137,6750,271,Completed,0
FL0000045,AZ762,GlobalWings,AC00914,LHR,ORD,2026-02-21 02:34:00,624,2645,285,Completed,11
FL0000046,AZ6458,NovaAir,AC00129,SIN,DEN,2026-03-26 09:03:00,88,3637,168,Completed,11
FL0000047,AZ9580,PacificAero,AC00082,BLR,DEN,2026-01-17 21:46:00,765,4730,240,Completed,8
FL0000048,AZ6265,GlobalWings,AC00776,BOS,ORD,2026-05-18 03:18:00,900,1525,168,Delayed,64
FL0000049,AZ7307,GlobalWings,AC00707,MIA,SFO,2026-05-09 11:40:00,663,358,306,In Air,4
FL0000050,AZ5510,AtlanticJet,AC00434,DFW,JFK,2026-04-13 05:45:00,415,2188,220,Completed,13
FL0000051,AZ806,GlobalWings,AC00982,JFK,MIA,2026-06-24 07:56:00,707,6982,167,Delayed,62
FL0000052,AZ4331,GlobalWings,AC00276,BOS,LHR,2026-02-28 15:58:00,631,2656,141,Completed,5
FL0000053,AZ3694,NovaAir,AC00581,MIA,SFO,2026-01-07 18:42:00,666,7973,164,Completed,5
FL0000054,AZ3865,NovaAir,AC01047,BOS,ORD,2026-03-08 05:19:00,747,5864,160,Completed,2
FL0000055,AZ3006,NovaAir,AC00034,SFO,ORD,2026-02-09 12:42:00,561,7127,200,Completed,3
FL0000056,AZ9987,PacificAero,AC01089,BLR,BOS,2026-01-15 05:06:00,140,8151,84,Cancelled,4
FL0000057,AZ6346,SkyBridge,AC01070,DEL,LAX,2026-06-07 02:28:00,89,7278,236,Completed,15
FL0000058,AZ9902,PacificAero,AC00872,BOS,DEL,2026-02-05 13:51:00,829,4059,183,Completed,9
FL0000059,AZ6244,AtlanticJet,AC00012,SFO,ATL,2026-03-10 19:41:00,52,2180,133,Cancelled,0
FL0000060,AZ9351,SkyBridge,AC00838,DFW,SIN,2026-04-26 00:23:00,481,4405,135,Completed,13
FL0000061,AZ9260,PacificAero,AC00418,BOS,ATL,2026-05-25 17:00:00,615,8154,223,Delayed,94
FL0000062,AZ3864,NovaAir,AC01184,DEN,ATL,2026-04-22 15:34:00,452,2512,186,In Air,3
FL0000063,AZ6475,AtlanticJet,AC00206,SIN,DXB,2026-02-28 21:47:00,849,5794,175,Completed,5
FL0000064,AZ3733,SkyBridge,AC00298,LAX,DEL,2026-02-03 03:56:00,490,1694,32,Scheduled,8
FL0000065,AZ2971,AtlanticJet,AC00788,JFK,LHR,2026-01-14 17:54:00,578,4943,192,Delayed,198
FL0000066,AZ9922,PacificAero,AC00414,DEN,MIA,2026-01-04 21:35:00,575,4935,49,Scheduled,1
FL0000067,AZ4620,NovaAir,AC00348,MIA,SIN,2026-03-26 08:22:00,289,254,154,Completed,2
FL0000068,AZ9260,PacificAero,AC00831,SEA,DXB,2026-05-24 20:48:00,60,1374,67,Completed,9
FL0000069,AZ4377,GlobalWings,AC00464,SEA,SFO,2026-04-11 16:09:00,510,6868,73,Scheduled,0
FL0000070,AZ8913,PacificAero,AC01145,SFO,BOS,2026-02-08 18:18:00,393,2167,168,Completed,8
FL0000071,AZ7648,PacificAero,AC00773,ATL,SIN,2026-06-11 04:58:00,294,5815,111,Completed,14
FL0000072,AZ6857,SkyBridge,AC00239,DEL,LAX,2026-06-25 11:31:00,693,3860,131,Completed,10
FL0000073,AZ7907,SkyBridge,AC00540,MIA,BOS,2026-01-04 12:57:00,453,5853,181,Completed,5
FL0000074,AZ3947,AtlanticJet,AC00375,SEA,DFW,2026-04-08 23:13:00,239,8425,228,Delayed,51
FL0000075,AZ2064,AeroSky,AC00424,DFW,BLR,2026-04-07 15:08:00,300,6083,201,Completed,3
FL0000076,AZ8166,PacificAero,AC00014,LHR,DXB,2026-06-29 08:58:00,538,6331,79,Scheduled,10
FL0000077,AZ7936,PacificAero,AC00375,DEL,ATL,2026-06-28 16:43:00,272,2351,65,Completed,13
FL0000078,AZ5271,AtlanticJet,AC00807,LAX,BOS,2026-05-07 10:39:00,513,2222,223,In Air,14
FL0000079,AZ3985,SkyBridge,AC00778,LAX,JFK,2026-03-18 17:34:00,415,4504,73,Completed,8
FL0000080,AZ6663,SkyBridge,AC00750,DEN,LHR,2026-05-05 22:01:00,260,7116,257,Completed,11
FL0000081,AZ9198,NovaAir,AC01180,DEN,ORD,2026-02-17 17:54:00,147,4672,236,Completed,7
FL0000082,AZ8285,GlobalWings,AC00299,DEL,SFO,2026-03-13 09:13:00,870,409,156,Completed,13
FL0000083,AZ2776,AeroSky,AC00997,BLR,DEL,2026-04-25 22:52:00,626,1031,152,Completed,3
FL0000084,AZ6003,PacificAero,AC00976,DFW,BLR,2026-04-03 14:01:00,807,5733,167,Completed,11
FL0000085,AZ4763,SkyBridge,AC00705,MIA,DEL,2026-04-04 19:56:00,404,3509,176,Completed,5
FL0000086,AZ2845,AtlanticJet,AC00916,SEA,DXB,2026-06-27 11:47:00,338,7848,183,Completed,4
FL0000087,AZ3839,SkyBridge,AC01171,SIN,SEA,2026-06-03 13:53:00,118,1546,82,Scheduled,10
FL0000088,AZ6050,AtlanticJet,AC00548,SEA,DXB,2026-04-17 01:54:00,322,7539,111,Delayed,220
FL0000089,AZ1411,GlobalWings,AC00848,BOS,MIA,2026-06-13 22:40:00,68,2298,222,Completed,8
FL0000090,AZ8684,AeroSky,AC00196,ORD,DEN,2026-02-07 12:06:00,529,1131,6,Scheduled,12
FL0000091,AZ4755,NovaAir,AC00173,JFK,SEA,2026-02-26 12:48:00,444,5318,58,Scheduled,7
FL0000092,AZ7754,PacificAero,AC01079,LHR,ORD,2026-02-17 19:07:00,724,6096,245,Completed,15
FL0000093,AZ8676,AtlanticJet,AC00277,BLR,ATL,2026-06-11 23:06:00,650,7730,214,Completed,13
FL0000094,AZ6092,NovaAir,AC00712,LHR,MIA,2026-04-23 17:51:00,869,1717,291,Completed,9
FL0000095,AZ7787,PacificAero,AC00022,ATL,ORD,2026-04-21 12:39:00,821,2483,147,Completed,9
FL0000096,AZ218,PacificAero,AC00978,LAX,SIN,2026-06-29 02:33:00,485,5049,178,Completed,7
FL0000097,AZ4408,AeroSky,AC01149,SEA,DFW,2026-05-30 21:48:00,212,6635,274,Completed,7
FL0000098,AZ6865,GlobalWings,AC01059,SFO,DXB,2026-03-29 05:19:00,746,4704,36,Scheduled,8
FL0000099,AZ3176,SkyBridge,AC00280,DEL,JFK,2026-03-08 09:53:00,511,7668,136,Completed,15
FL0000100,AZ7283,AtlanticJet,AC01096,LAX,DFW,2026-01-19 01:41:00,149,4872,137,Completed,4
FL0000101,AZ6184,NovaAir,AC00309,LAX,ATL,2026-02-02 20:09:00,395,7135,142,Completed,15
FL0000102,AZ1269,PacificAero,AC00677,DXB,DEL,2026-01-12 13:19:00,194,1168,68,Scheduled,12
FL0000103,AZ4149,AtlanticJet,AC00513,DEN,ORD,2026-03-11 23:24:00,169,4328,197,Scheduled,14
FL0000104,AZ5213,SkyBridge,AC00193,LAX,ATL,2026-06-17 18:50:00,258,7996,86,Delayed,174
FL0000105,AZ953,AtlanticJet,AC01126,ORD,DXB,2026-01-16 08:37:00,537,5145,74,Completed,11
FL0000106,AZ6584,GlobalWings,AC00890,DFW,JFK,2026-03-27 21:54:00,858,4773,176,Completed,3
FL0000107,AZ5644,AtlanticJet,AC00318,LAX,JFK,2026-06-23 00:58:00,299,2833,165,In Air,2
FL0000108,AZ5289,PacificAero,AC00316,LAX,JFK,2026-05-10 10:33:00,154,2311,196,Completed,7
FL0000109,AZ4207,AeroSky,AC00899,SIN,LHR,2026-05-07 10:54:00,750,6439,179,Completed,4
FL0000110,AZ9006,SkyBridge,AC01145,DEN,SIN,2026-06-09 06:56:00,546,3359,174,Completed,5
FL0000111,AZ7462,SkyBridge,AC00564,SEA,SIN,2026-06-20 12:53:00,612,2877,8,Scheduled,4
FL0000112,AZ6065,PacificAero,AC00930,DEL,ATL,2026-05-14 15:52:00,563,6460,126,In Air,0
FL0000113,AZ4738,SkyBridge,AC01104,DFW,SFO,2026-01-24 01:29:00,744,8401,319,Completed,4
FL0000114,AZ612,GlobalWings,AC00227,SFO,DXB,2026-04-28 05:53:00,113,967,119,Completed,5
FL0000115,AZ9771,SkyBridge,AC00203,JFK,MIA,2026-03-11 18:22:00,442,8276,170,Delayed,159
FL0000116,AZ1094,SkyBridge,AC00146,LAX,SFO,2026-03-22 08:42:00,258,8301,20,Scheduled,14
FL0000117,AZ1253,SkyBridge,AC00756,MIA,SIN,2026-06-01 10:39:00,676,4605,201,Completed,1
FL0000118,AZ9439,AtlanticJet,AC00208,JFK,ATL,2026-02-05 08:38:00,439,3354,158,Completed,7
FL0000119,AZ7097,AeroSky,AC00217,ORD,BOS,2026-06-01 03:56:00,735,7765,223,Delayed,170
FL0000120,AZ5872,SkyBridge,AC01127,ORD,DEL,2026-03-07 16:19:00,718,2841,314,Completed,14
FL0000121,AZ9326,PacificAero,AC00845,MIA,SEA,2026-05-16 08:08:00,788,5549,211,Completed,7
FL0000122,AZ9860,AeroSky,AC00738,DFW,DEN,2026-04-03 12:15:00,451,253,186,Completed,9
FL0000123,AZ9171,PacificAero,AC00014,MIA,ORD,2026-04-20 21:31:00,264,5409,5,Scheduled,8
FL0000124,AZ9638,GlobalWings,AC00194,MIA,LHR,2026-02-26 07:55:00,204,2517,136,Completed,11
FL0000125,AZ8005,GlobalWings,AC00189,DFW,SEA,2026-04-20 08:04:00,267,1514,108,Completed,10
FL0000126,AZ5578,SkyBridge,AC00616,DEN,BLR,2026-02-04 17:18:00,635,6501,20,Cancelled,1
FL0000127,AZ986,SkyBridge,AC00854,BLR,DEL,2026-06-08 03:00:00,277,437,162,Scheduled,12
FL0000128,AZ6536,NovaAir,AC01106,MIA,LAX,2026-04-27 06:13:00,559,3867,71,Completed,1
FL0000129,AZ1452,NovaAir,AC00455,SIN,BOS,2026-02-02 19:09:00,448,2675,211,Completed,10
FL0000130,AZ2309,NovaAir,AC01123,BOS,SIN,2026-01-18 22:53:00,453,8471,289,Completed,4
FL0000131,AZ4462,NovaAir,AC00810,MIA,DFW,2026-06-27 14:59:00,619,4284,165,Delayed,18
FL0000132,AZ5744,PacificAero,AC00231,SEA,DXB,2026-02-02 14:53:00,419,5956,158,Completed,10
FL0000133,AZ7316,AeroSky,AC00347,LHR,LAX,2026-04-21 23:32:00,867,7495,181,Delayed,37
FL0000134,AZ4082,PacificAero,AC00409,BLR,DEL,2026-03-27 00:15:00,820,1655,148,Completed,1
FL0000135,AZ472,SkyBridge,AC00029,BLR,ORD,2026-04-15 17:49:00,158,5249,159,Delayed,120
FL0000136,AZ401,NovaAir,AC00418,DFW,SIN,2026-03-19 03:23:00,309,8163,101,Completed,4
FL0000137,AZ236,AeroSky,AC00524,BOS,DXB,2026-01-16 19:57:00,250,4694,175,Completed,14
FL0000138,AZ8431,AtlanticJet,AC00738,SFO,DXB,2026-04-09 18:44:00,709,6582,132,Completed,12
FL0000139,AZ751,GlobalWings,AC01089,JFK,SFO,2026-06-26 11:02:00,557,7753,174,Completed,0
FL0000140,AZ5922,AtlanticJet,AC00684,BLR,MIA,2026-04-22 00:29:00,205,551,266,Completed,11
FL0000141,AZ3795,GlobalWings,AC00565,ATL,DFW,2026-07-02 12:00:00,441,732,174,Delayed,71
FL0000142,AZ9486,GlobalWings,AC00180,SEA,DEN,2026-02-19 23:24:00,739,3976,187,Completed,7
FL0000143,AZ2362,SkyBridge,AC00920,SFO,ATL,2026-04-30 21:20:00,713,2520,99,Completed,6
FL0000144,AZ9231,PacificAero,AC00881,DXB,SIN,2026-02-19 05:51:00,623,2839,243,Delayed,17
FL0000145,AZ5070,NovaAir,AC00651,DXB,JFK,2026-03-09 00:59:00,828,5471,267,Delayed,105
FL0000146,AZ9870,GlobalWings,AC00312,DXB,BLR,2026-04-10 16:28:00,234,679,230,Completed,7
FL0000147,AZ7780,AtlanticJet,AC00736,DFW,DXB,2026-01-10 11:55:00,533,2446,167,Delayed,216
FL0000148,AZ6794,AeroSky,AC00794,LHR,SEA,2026-03-08 23:36:00,212,3416,235,Completed,1
FL0000149,AZ7297,PacificAero,AC00456,BLR,ATL,2026-05-31 09:14:00,252,3601,142,Delayed,45
FL0000150,AZ6557,PacificAero,AC00938,DEN,SIN,2026-04-29 06:58:00,839,935,259,Completed,10
FL0000151,AZ743,PacificAero,AC01067,DXB,BOS,2026-01-15 00:31:00,891,944,134,Completed,12
FL0000152,AZ7021,SkyBridge,AC00389,SFO,BOS,2026-01-18 22:45:00,356,4934,161,Completed,5
FL0000153,AZ9691,AtlanticJet,AC00950,BOS,LAX,2026-02-21 18:54:00,784,8452,148,Completed,5
FL0000154,AZ7549,AeroSky,AC00847,MIA,ORD,2026-05-24 02:40:00,228,7683,177,Completed,6
FL0000155,AZ8483,PacificAero,AC00254,ATL,SFO,2026-03-01 17:00:00,505,6196,113,Completed,12
FL0000156,AZ3030,AtlanticJet,AC00090,ORD,DEN,2026-05-19 13:47:00,624,2709,83,Scheduled,4
FL0000157,AZ2026,GlobalWings,AC00634,LAX,DEN,2026-04-23 03:53:00,501,4981,214,In Air,5
FL0000158,AZ3653,PacificAero,AC00026,DFW,LAX,2026-04-03 03:43:00,555,344,304,Completed,7
FL0000159,AZ9234,GlobalWings,AC00840,LHR,DEN,2026-06-15 04:49:00,659,357,240,Completed,8
FL0000160,AZ5524,AeroSky,AC00113,LAX,DFW,2026-02-23 23:28:00,193,781,219,Completed,9
FL0000161,AZ9585,SkyBridge,AC00366,LAX,ORD,2026-06-01 19:25:00,670,3156,278,Delayed,191
FL0000162,AZ4897,NovaAir,AC00613,BLR,LAX,2026-02-03 21:44:00,433,1358,156,Completed,2
FL0000163,AZ1890,PacificAero,AC00675,ORD,JFK,2026-04-10 21:54:00,259,3675,101,Completed,1
FL0000164,AZ5285,SkyBridge,AC00991,DXB,LHR,2026-02-01 22:04:00,852,4955,188,Delayed,155
FL0000165,AZ3047,PacificAero,AC00266,MIA,LHR,2026-05-09 20:01:00,577,8404,93,Delayed,206
FL0000166,AZ6883,AeroSky,AC00397,DFW,SIN,2026-04-16 18:19:00,521,2182,129,Completed,13
FL0000167,AZ5142,SkyBridge,AC00024,SEA,SFO,2026-03-19 07:26:00,333,4418,235,Completed,2
FL0000168,AZ577,GlobalWings,AC00013,MIA,BOS,2026-04-28 22:29:00,394,6738,175,Delayed,157
FL0000169,AZ7646,PacificAero,AC00982,DFW,SFO,2026-05-04 00:56:00,706,2474,301,In Air,4
FL0000170,AZ9196,PacificAero,AC00848,BLR,SEA,2026-06-18 09:07:00,578,5154,206,Completed,10
FL0000171,AZ8853,GlobalWings,AC00725,LAX,ATL,2026-05-01 18:36:00,332,760,86,Scheduled,12
FL0000172,AZ618,SkyBridge,AC00384,BOS,LHR,2026-05-22 20:04:00,846,5300,107,Completed,10
FL0000173,AZ2967,AeroSky,AC00487,SFO,JFK,2026-06-30 23:19:00,354,3791,169,Completed,9
FL0000174,AZ3216,SkyBridge,AC00414,SEA,DEL,2026-01-14 14:45:00,70,8157,167,Completed,4
FL0000175,AZ7626,NovaAir,AC00671,BLR,DEN,2026-04-23 23:57:00,145,2424,214,In Air,1
FL0000176,AZ855,AeroSky,AC00009,DXB,BLR,2026-02-12 04:11:00,748,1676,85,Scheduled,14
FL0000177,AZ3254,SkyBridge,AC00047,MIA,DEL,2026-04-24 18:29:00,699,3688,41,Cancelled,6
FL0000178,AZ349,PacificAero,AC00904,ATL,BOS,2026-04-27 04:46:00,197,2830,169,Completed,3
FL0000179,AZ9505,GlobalWings,AC00424,MIA,BOS,2026-02-07 06:34:00,371,4690,71,Completed,9
FL0000180,AZ1835,NovaAir,AC00694,ORD,JFK,2026-04-24 08:51:00,178,725,92,Completed,1
FL0000181,AZ5544,GlobalWings,AC00803,LAX,ORD,2026-06-05 06:30:00,651,7554,253,Delayed,79
FL0000182,AZ5185,AtlanticJet,AC00954,DXB,DEL,2026-01-29 14:20:00,877,7922,68,Completed,14
FL0000183,AZ3104,AtlanticJet,AC00964,LHR,SIN,2026-06-19 10:41:00,192,4477,186,Scheduled,12
FL0000184,AZ7942,NovaAir,AC00666,BLR,LHR,2026-05-01 06:26:00,111,8037,206,Completed,11
FL0000185,AZ1852,SkyBridge,AC00714,DEL,ORD,2026-04-13 18:24:00,565,1936,87,Delayed,209
FL0000186,AZ9077,GlobalWings,AC00619,MIA,DXB,2026-01-26 19:44:00,649,7023,77,Completed,7
FL0000187,AZ9021,AtlanticJet,AC00698,DEN,SFO,2026-01-25 01:14:00,650,7313,222,Scheduled,10
FL0000188,AZ7394,GlobalWings,AC01176,DFW,ORD,2026-01-29 08:39:00,655,7834,261,Completed,3
FL0000189,AZ1107,AeroSky,AC00223,ATL,DEN,2026-01-26 08:14:00,834,6458,83,Scheduled,15
FL0000190,AZ7521,PacificAero,AC01190,DFW,BLR,2026-02-20 13:52:00,820,2653,169,Scheduled,4
FL0000191,AZ7222,AtlanticJet,AC00401,ATL,DEN,2026-06-12 19:20:00,369,5160,239,Delayed,235
FL0000192,AZ4919,AeroSky,AC01194,BLR,SEA,2026-02-02 12:12:00,567,6872,119,Delayed,218
FL0000193,AZ610,GlobalWings,AC00002,SEA,BOS,2026-01-20 08:14:00,412,2047,244,Delayed,72
FL0000194,AZ2941,NovaAir,AC00652,SFO,SIN,2026-05-24 13:10:00,435,7380,203,Completed,6
FL0000195,AZ1275,AtlanticJet,AC00738,ORD,ATL,2026-05-21 00:38:00,731,2306,212,Completed,0
FL0000196,AZ3045,NovaAir,AC00895,LAX,DFW,2026-06-27 04:51:00,702,7063,278,Completed,13
FL0000197,AZ3978,AtlanticJet,AC00788,MIA,SFO,2026-06-13 20:33:00,479,371,175,Completed,15
FL0000198,AZ1954,PacificAero,AC01119,MIA,ATL,2026-05-30 13:57:00,83,8167,107,Completed,11
FL0000199,AZ8674,PacificAero,AC00291,DEN,SIN,2026-01-30 03:36:00,813,4828,119,Cancelled,2
FL0000200,AZ5728,PacificAero,AC00160,JFK,ATL,2026-06-22 00:20:00,862,5369,212,Delayed,13
FL0000201,AZ4927,SkyBridge,AC00930,SIN,LAX,2026-06-20 17:02:00,632,5681,53,Scheduled,11
FL0000202,AZ4880,AtlanticJet,AC01155,ORD,LAX,2026-04-21 17:00:00,529,3020,175,Completed,1
FL0000203,AZ4703,SkyBridge,AC00993,BOS,LAX,2026-04-15 10:14:00,123,4802,135,Completed,4
FL0000204,AZ6158,GlobalWings,AC00229,DEL,ATL,2026-01-06 04:06:00,650,2726,104,Completed,14
FL0000205,AZ9857,GlobalWings,AC00994,ATL,DEL,2026-03-27 23:54:00,78,5867,183,In Air,4
FL0000206,AZ5753,AeroSky,AC00785,DEL,DEN,2026-05-31 08:23:00,788,2990,215,Delayed,147
FL0000207,AZ6322,AtlanticJet,AC00108,LHR,ATL,2026-02-12 05:34:00,532,5187,283,Completed,7
FL0000208,AZ6358,AtlanticJet,AC00538,DXB,SFO,2026-06-22 19:01:00,490,444,235,Completed,14
FL0000209,AZ4475,AeroSky,AC00200,SEA,BOS,2026-01-15 22:25:00,487,4716,83,Delayed,69
FL0000210,AZ3047,SkyBridge,AC00945,ATL,DXB,2026-05-23 09:57:00,796,3443,133,Cancelled,10
FL0000211,AZ3694,AtlanticJet,AC00140,MIA,LAX,2026-01-04 02:03:00,582,1952,160,Completed,11
FL0000212,AZ2095,AtlanticJet,AC00070,ATL,SEA,2026-03-12 07:09:00,103,3802,179,Delayed,163
FL0000213,AZ4250,SkyBridge,AC00770,JFK,ORD,2026-02-17 07:08:00,708,3277,148,In Air,5
FL0000214,AZ1312,SkyBridge,AC00929,DEN,DXB,2026-01-28 13:36:00,753,5548,134,In Air,5
FL0000215,AZ1237,NovaAir,AC00796,SIN,LAX,2026-05-20 08:56:00,309,4586,45,Scheduled,14
FL0000216,AZ7334,AtlanticJet,AC00366,BLR,DFW,2026-05-23 22:53:00,192,7315,161,Completed,3
FL0000217,AZ8254,GlobalWings,AC00150,ATL,JFK,2026-01-13 16:37:00,301,7555,105,Delayed,229
FL0000218,AZ8544,AtlanticJet,AC00078,LHR,DXB,2026-01-01 07:34:00,200,5653,184,Completed,0
FL0000219,AZ154,NovaAir,AC00894,SIN,DEN,2026-06-24 02:02:00,844,1398,276,Scheduled,7
FL0000220,AZ6663,AeroSky,AC00249,DXB,BLR,2026-06-25 12:21:00,412,5713,105,Completed,9
FL0000221,AZ4850,AtlanticJet,AC00749,LHR,DXB,2026-02-03 00:15:00,393,1568,107,Scheduled,14
FL0000222,AZ8070,AeroSky,AC00787,DFW,ORD,2026-01-15 07:40:00,757,6641,147,Completed,11
FL0000223,AZ1132,PacificAero,AC00389,BLR,LHR,2026-06-09 11:09:00,70,4157,287,Completed,12
FL0000224,AZ5633,AtlanticJet,AC01094,LHR,ATL,2026-07-01 22:18:00,61,856,173,Scheduled,1
FL0000225,AZ3917,AeroSky,AC00434,LAX,DEN,2026-02-13 00:44:00,514,2690,228,Delayed,148
FL0000226,AZ335,GlobalWings,AC01002,LAX,SIN,2026-02-21 13:14:00,678,1000,165,Completed,4
FL0000227,AZ8245,PacificAero,AC00200,LHR,LAX,2026-04-22 21:33:00,900,1297,205,Delayed,29
FL0000228,AZ9536,PacificAero,AC00130,SIN,BOS,2026-03-22 07:23:00,875,6836,245,Completed,3
FL0000229,AZ6901,GlobalWings,AC00094,ORD,SFO,2026-03-19 15:14:00,109,2228,79,Completed,4
FL0000230,AZ2684,AeroSky,AC00899,DXB,SEA,2026-03-02 01:50:00,86,2435,51,Scheduled,12
FL0000231,AZ2179,GlobalWings,AC00014,BLR,DEN,2026-01-30 09:21:00,136,4898,156,Completed,15
FL0000232,AZ1542,AtlanticJet,AC01072,ORD,DXB,2026-04-09 15:35:00,223,866,224,Completed,15
FL0000233,AZ6029,PacificAero,AC00713,DEL,SIN,2026-04-20 15:55:00,286,3394,208,Completed,3
FL0000234,AZ2988,GlobalWings,AC00427,MIA,DFW,2026-06-19 00:22:00,160,2694,162,Completed,15
FL0000235,AZ809,AeroSky,AC00746,LHR,LAX,2026-01-20 16:06:00,302,5727,180,Completed,14
FL0000236,AZ9810,PacificAero,AC00324,DXB,LAX,2026-03-06 00:55:00,163,1410,133,Completed,14
FL0000237,AZ6859,GlobalWings,AC00668,SEA,DEN,2026-03-14 08:42:00,378,3981,187,In Air,7
FL0000238,AZ3017,NovaAir,AC00965,SFO,DFW,2026-01-27 18:30:00,491,2624,75,Completed,14
