maintenance_id,aircraft_id,maintenance_date,maintenance_type,severity,downtime_hours,cost_usd,status,technician
MT0000087,AC00069,2026-04-26,Structural Inspection,Low,58,21747,Scheduled,Technician-A
MT0000088,AC00913,2026-02-05,Structural Inspection,Low,63,74115,In Progress,Technician-A
MT0000089,AC00597,2026-07-01,Avionics Inspection,High,57,22615,Scheduled,Technician-A
MT0000090,AC00680,2026-02-15,Structural Inspection,High,21,28261,Completed,Technician-B
MT0000091,AC00471,2026-06-06,Hydraulic Check,Low,36,82342,Scheduled,Technician-D
MT0000092,AC01084,2026-03-08,Routine Service,High,15,20399,Completed,Technician-C
MT0000093,AC00446,2026-05-10,Routine Service,Low,18,12697,In Progress,Technician-C
MT0000094,AC00144,2026-04-02,Landing Gear,High,19,63628,In Progress,Technician-A
MT0000095,AC00844,2026-04-12,Engine Inspection,High,69,71927,Scheduled,Technician-C
MT0000096,AC00399,2026-01-02,Hydraulic Check,Medium,61,19266,In Progress,Technician-B
MT0000097,AC00281,2026-01-01,Engine Inspection,Low,48,48264,Completed,Technician-C
MT0000098,AC00863,2026-02-22,Avionics Inspection,High,35,39845,In Progress,Technician-C
MT0000099,AC00769,2026-05-12,Engine Inspection,Medium,44,34307,In Progress,Technician-D
MT0000100,AC00845,2026-05-30,Avionics Inspection,Low,31,30502,In Progress,Technician-B
MT0000101,AC00484,2026-06-11,Avionics Inspection,Low,66,9992,Completed,Technician-D
MT0000102,AC01004,2026-05-02,Structural Inspection,Low,12,60452,In Progress,Technician-B
MT0000103,AC00887,2026-06-05,Structural Inspection,Low,72,47322,In Progress,Technician-B
MT0000104,AC00887,2026-05-11,Landing Gear,Low,22,12070,Completed,Technician-D
MT0000105,AC00302,2026-02-03,Avionics Inspection,Low,21,60325,Scheduled,Technician-D
MT0000106,AC00621,2026-02-02,Engine Inspection,Low,71,48220,Completed,Technician-D
MT0000107,AC01079,2026-03-10,Landing Gear,Medium,42,5673,Scheduled,Technician-A
MT0000108,AC00217,2026-01-03,Landing Gear,Medium,31,65256,In Progress,Technician-B
MT0000109,AC00433,2026-06-16,Landing Gear,Medium,53,22158,In Progress,Technician-D
MT0000110,AC00519,2026-05-02,Structural Inspection,Medium,28,7295,In Progress,Technician-B
MT0000111,AC00595,2026-01-24,Avionics Inspection,Low,16,74653,Completed,Technician-B
MT0000112,AC00800,2026-03-17,Avionics Inspection,Low,28,26718,Completed,Technician-A
MT0000113,AC01041,2026-01-02,Engine Inspection,Critical,60,62961,In Progress,Technician-A
MT0000114,AC00643,2026-06-05,Engine Inspection,Medium,2,70710,Scheduled,Technician-D
MT0000115,AC00978,2026-01-13,Structural Inspection,Medium,19,7620,In Progress,Technician-D
MT0000116,AC00035,2026-02-21,Hydraulic Check,Low,2,15356,Completed,Technician-B
MT0000117,AC01031,2026-02-16,Landing Gear,Low,49,82638,In Progress,Technician-B
MT0000118,AC00666,2026-03-19,Structural Inspection,High,66,32041,In Progress,Technician-D
MT0000119,AC00945,2026-05-01,Avionics Inspection,Medium,37,47582,Completed,Technician-A
MT0000120,AC00034,2026-01-18,Hydraulic Check,Medium,36,17181,Scheduled,Technician-D
MT0000121,AC00036,2026-04-02,Hydraulic Check,Medium,63,48419,Completed,Technician-D
MT0000122,AC00076,2026-01-19,Hydraulic Check,Medium,43,23175,Scheduled,Technician-A
MT0000123,AC00093,2026-05-07,Engine Inspection,Medium,20,57159,In Progress,Technician-C
MT0000124,AC01191,2026-03-09,Avionics Inspection,Medium,57,21982,Scheduled,Technician-D
MT0000125,AC01076,2026-03-03,Avionics Inspection,Medium,62,53379,Scheduled,Technician-B
MT0000126,AC00612,2026-05-08,Hydraulic Check,High,46,58527,Completed,Technician-C
MT0000127,AC01032,2026-05-11,Routine Service,High,31,46978,In Progress,Technician-B
MT0000128,AC00638,2026-01-07,Routine Service,Low,5,6715,Scheduled,Technician-C
MT0000129,AC00577,2026-01-15,Engine Inspection,Medium,55,65931,Completed,Technician-D
MT0000130,AC00653,2026-04-13,Avionics Inspection,Medium,47,52640,In Progress,Technician-B
MT0000131,AC00239,2026-01-07,Hydraulic Check,Low,40,82450,Completed,Technician-C
MT0000132,AC00758,2026-01-17,Engine Inspection,Low,26,82888,In Progress,Technician-B
MT0000133,AC00468,2026-01-26,Hydraulic Check,Low,67,14032,Completed,Technician-C
MT0000134,AC00254,2026-03-14,Hydraulic Check,Low,35,51311,Completed,Technician-B
MT0000135,AC00333,2026-06-10,Avionics Inspection,Low,36,17290,Scheduled,Technician-C
MT0000136,AC00762,2026-02-15,Structural Inspection,Low,31,40730,Completed,Technician-B
MT0000137,AC01100,2026-04-30,Structural Inspection,Medium,13,11409,In Progress,Technician-A
MT0000138,AC00127,2026-01-05,Avionics Inspection,Low,22,74089,Completed,Technician-A
MT0000139,AC00493,2026-05-25,Routine Service,Medium,71,51325,Completed,Technician-B
MT0000140,AC00793,2026-06-03,Landing Gear,Low,52,61997,Completed,Technician-C
MT0000141,AC00596,2026-06-01,Routine Service,High,7,60118,Completed,Technician-C
MT0000142,AC00174,2026-01-04,Engine Inspection,Low,63,38044,Completed,Technician-D
MT0000143,AC00941,2026-05-25,Engine Inspection,Medium,47,32712,In Progress,Technician-B
MT0000144,AC00008,2026-01-08,Structural Inspection,Medium,72,51299,Completed,Technician-D
MT0000145,AC00877,2026-03-18,Routine Service,Low,69,67273,In Progress,Technician-B
MT0000146,AC00819,2026-06-26,Hydraulic Check,Low,33,51667,Scheduled,Technician-D
MT0000147,AC00559,2026-03-29,Landing Gear,Medium,50,75994,Scheduled,Technician-B
MT0000148,AC00177,2026-04-12,Routine Service,Medium,17,2547,Completed,Technician-A
MT0000149,AC00009,2026-05-15,Hydraulic Check,Low,63,20384,Completed,Technician-B
MT0000150,AC00981,2026-04-09,Landing Gear,Medium,34,18336,Completed,Technician-B
MT0000151,AC00382,2026-03-04,Landing Gear,Medium,4,41886,Completed,Technician-C
MT0000152,AC00355,2026-03-31,Landing Gear,Low,33,39649,Scheduled,Technician-D
MT0000153,AC00315,2026-03-25,Landing Gear,Medium,12,4543,In Progress,Technician-A
MT0000154,AC00113,2026-03-18,Landing Gear,High,60,62876,Scheduled,Technician-B
MT0000155,AC00246,2026-03-10,Routine Service,Medium,43,50304,Scheduled,Technician-D
MT0000156,AC00354,2026-01-12,Engine Inspection,Low,49,10082,Scheduled,Technician-B
MT0000157,AC00959,2026-01-06,Structural Inspection,Low,24,30030,In Progress,Technician-A
MT0000158,AC00589,2026-04-16,Routine Service,Low,68,20208,Scheduled,Technician-A
MT0000159,AC00979,2026-06-01,Structural Inspection,Low,36,69016,Completed,Technician-D
MT0000160,AC00373,2026-03-28,Engine Inspection,Medium,62,28327,Scheduled,Technician-C
MT0000161,AC00584,2026-03-12,Routine Service,Low,4,18287,In Progress,Technician-C
MT0000162,AC00165,2026-01-24,Hydraulic Check,Low,27,82767,Completed,Technician-C
MT0000163,AC00696,2026-04-09,Avionics Inspection,Medium,71,22165,In Progress,Technician-D
MT0000164,AC00306,2026-05-10,Hydraulic Check,Low,45,33525,Completed,Technician-C
MT0000165,AC01042,2026-05-24,Landing Gear,Low,64,71903,Completed,Technician-D
MT0000166,AC00645,2026-04-24,Landing Gear,Medium,60,10530,Scheduled,Technician-B
MT0000167,AC00033,2026-02-19,Engine Inspection,Low,27,15127,In Progress,Technician-A
MT0000168,AC00684,2026-02-24,Structural Inspection,Low,72,79447,In Progress,Technician-C
MT0000169,AC00378,2026-02-28,Avionics Inspection,Low,53,81048,Scheduled,Technician-D
MT0000170,AC00040,2026-05-02,Landing Gear,Medium,49,45885,Completed,Technician-B
MT0000171,AC00874,2026-06-17,Engine Inspection,Medium,21,1703,Completed,Technician-B
MT0000172,AC00721,2026-05-12,Landing Gear,Low,4,60783,Completed,Technician-B
MT0000173,AC01076,2026-03-08,Avionics Inspection,Low,12,31202,Scheduled,Technician-C
MT0000174,AC00265,2026-01-30,Routine Service,Low,65,55440,Completed,Technician-A
MT0000175,AC00680,2026-05-12,Routine Service,High,22,58897,Scheduled,Technician-C
MT0000176,AC00996,2026-07-01,Landing Gear,High,49,27870,Completed,Technician-A
MT0000177,AC00398,2026-02-09,Landing Gear,Medium,14,23289,Completed,Technician-B
MT0000178,AC01182,2026-05-17,Structural Inspection,High,27,75952,In Progress,Technician-B
MT0000179,AC01098,2026-01-12,Avionics Inspection,Low,69,73261,In Progress,Technician-D
MT0000180,AC00539,2026-05-05,Landing Gear,High,37,51493,Scheduled,Technician-B
MT0000181,AC00084,2026-02-01,Engine Inspection,High,55,13057,Completed,Technician-D
MT0000182,AC01026,2026-05-13,Routine Service,High,50,55913,In Progress,Technician-B
MT0000183,AC00842,2026-02-07,Engine Inspection,Medium,69,68239,Scheduled,Technician-B
MT0000184,AC00882,2026-01-01,Routine Service,High,6,52543,Completed,Technician-D
MT0000185,AC00972,2026-03-03,Engine Inspection,Low,20,66058,In Progress,Technician-B
MT0000186,AC00973,2026-06-12,Hydraulic Check,High,35,66639,In Progress,Technician-D
MT0000187,AC00540,2026-03-28,Engine Inspection,Medium,31,42977,Completed,Technician-A
MT0000188,AC00209,2026-06-20,Structural Inspection,Medium,60,30809,Completed,Technician-D
MT0000189,AC00490,2026-01-25,Structural Inspection,Low,38,61751,In Progress,Technician-D
MT0000190,AC00400,2026-02-08,Routine Service,Low,32,53488,Completed,Technician-C
MT0000191,AC00269,2026-03-14,Avionics Inspection,Medium,21,10764,Completed,Technician-B
MT0000192,AC00422,2026-06-29,Routine Service,Medium,12,73151,Completed,Technician-D
MT0000193,AC00690,2026-02-12,Routine Service,Medium,59,58491,In Progress,Technician-A
MT0000194,AC00455,2026-03-20,Routine Service,Low,55,63581,Completed,Technician-C
MT0000195,AC00250,2026-03-31,Structural Inspection,Low,7,1340,Scheduled,Technician-D
MT0000196,AC00805,2026-05-19,Structural Inspection,Low,23,57109,Scheduled,Technician-B
MT0000197,AC00051,2026-05-23,Hydraulic Check,Low,5,17383,Completed,Technician-B
MT0000198,AC00557,2026-01-24,Structural Inspection,Low,64,77709,Completed,Technician-A
MT0000199,AC00434,2026-02-22,Avionics Inspection,Medium,26,8477,Completed,Technician-D
MT0000200,AC01031,2026-02-17,Structural Inspection,Medium,35,60041,Completed,Technician-B
MT0000201,AC00221,2026-03-30,Landing Gear,Low,16,54773,Completed,Technician-A
MT0000202,AC00056,2026-04-26,Landing Gear,Low,67,61319,Completed,Technician-A
MT0000203,AC00880,2026-02-19,Structural Inspection,Medium,15,33209,Completed,Technician-C
MT0000204,AC00729,2026-02-25,Routine Service,Low,46,11250,Completed,Technician-B
MT0000205,AC00003,2026-01-27,Routine Service,Medium,52,45140,Completed,Technician-C
MT0000206,AC00458,2026-02-28,Hydraulic Check,Medium,65,5517,Completed,Technician-A
MT0000207,AC00709,2026-01-25,Avionics Inspection,Critical,60,10214,In Progress,Technician-D
MT0000208,AC00959,2026-02-18,Structural Inspection,Low,37,34922,Scheduled,Technician-D
MT0000209,AC00467,2026-03-08,Routine Service,Medium,5,10487,Completed,Technician-B
MT0000210,AC00139,2026-04-29,Structural Inspection,Medium,20,42267,Completed,Technician-D
MT0000211,AC00126,2026-06-18,Routine Service,Critical,52,65846,Completed,Technician-D
MT0000212,AC00162,2026-06-20,Avionics Inspection,Medium,32,49381,Completed,Technician-A
MT0000213,AC01151,2026-05-06,Landing Gear,Low,15,13499,Completed,Technician-C
MT0000214,AC00850,2026-06-19,Hydraulic Check,Low,49,22640,In Progress,Technician-D
MT0000215,AC00913,2026-02-02,Routine Service,Medium,50,47557,Completed,Technician-C
MT0000216,AC00706,2026-01-22,Hydraulic Check,Medium,62,62381,In Progress,Technician-D
MT0000217,AC00709,2026-04-01,Hydraulic Check,Low,22,51527,In Progress,Technician-C
MT0000218,AC00856,2026-01-06,Routine Service,Low,49,58085,Scheduled,Technician-B
MT0000219,AC00586,2026-05-03,Avionics Inspection,High,23,47305,Scheduled,Technician-B
MT0000220,AC00144,2026-01-08,Engine Inspection,Low,72,30008,In Progress,Technician-A
MT0000221,AC01072,2026-01-30,Structural Inspection,Medium,27,80777,Scheduled,Technician-D
MT0000222,AC00525,2026-04-03,Structural Inspection,Medium,8,16467,Scheduled,Technician-C
MT0000223,AC00961,2026-01-24,Engine Inspection,Low,65,17347,Completed,Technician-D
MT0000224,AC00802,2026-02-18,Engine Inspection,High,24,41883,Scheduled,Technician-D
MT0000225,AC00605,2026-05-30,Routine Service,Low,44,76738,Completed,Technician-D
MT0000226,AC01123,2026-01-07,Landing Gear,High,49,42709,Scheduled,Technician-A
MT0000227,AC00544,2026-04-20,Landing Gear,Low,51,46376,Completed,Technician-A
MT0000228,AC00711,2026-05-07,Hydraulic Check,High,53,11352,Completed,Technician-D
MT0000229,AC00471,2026-02-13,Engine Inspection,High,3,53988,Completed,Technician-A
MT0000230,AC01171,2026-04-21,Structural Inspection,Medium,16,35537,In Progress,Technician-B
MT0000231,AC00424,2026-05-21,Hydraulic Check,Medium,2,68709,Scheduled,Technician-D
MT0000232,AC00926,2026-02-15,Structural Inspection,High,27,47294,Scheduled,Technician-C
MT0000233,AC00345,2026-06-20,Hydraulic Check,Low,65,45137,Completed,Technician-D
MT0000234,AC01097,2026-05-03,Routine Service,Medium,71,24037,Scheduled,Technician-C
MT0000235,AC01158,2026-05-05,Engine Inspection,Low,47,12116,Completed,Technician-C
MT0000236,AC00094,2026-03-02,Avionics Inspection,Medium,72,56962,Completed,Technician-A
MT0000237,AC00108,2026-01-21,Structural Inspection,Low,55,23776,In Progress,Technician-A
MT0000238,AC01067,2026-06-18,Routine Service,Low,64,10608,Completed,Technician-D
MT0000239,AC00386,2026-02-07,Hydraulic Check,Medium,5,33282,Completed,Technician-C
MT0000240,AC01027,2026-04-24,Landing Gear,Medium,8,7621,Completed,Technician-A
MT0000241,AC00198,2026-03-17,Engine Inspection,Medium,21,45018,Completed,Technician-D
MT0000242,AC01026,2026-03-21,Avionics Inspection,Medium,58,74755,Scheduled,Technician-D
MT0000243,AC00309,2026-02-25,Structural Inspection,Low,23,81264,Scheduled,Technician-A
MT0000244,AC00645,2026-01-03,Routine Service,Medium,29,17073,Scheduled,Technician-C
MT0000245,AC00906,2026-03-31,Avionics Inspection,Low,57,79014,Completed,Technician-B
MT0000246,AC00059,2026-06-01,Structural Inspection,Low,40,35318,Completed,Technician-A
MT0000247,AC01020,2026-04-24,Hydraulic Check,Medium,67,24406,In Progress,Technician-A
MT0000248,AC00251,2026-02-23,Hydraulic Check,High,68,76703,Scheduled,Technician-A
MT0000249,AC00311,2026-02-12,Routine Service,Medium,69,71970,Completed,Technician-B
MT0000250,AC00550,2026-06-23,Hydraulic Check,Medium,32,81772,In Progress,Technician-D
MT0000251,AC00198,2026-05-12,Hydraulic Check,Medium,52,41038,Completed,Technician-B
MT0000252,AC00363,2026-05-07,Avionics Inspection,High,3,69716,Completed,Technician-D
MT0000253,AC00762,2026-01-25,Structural Inspection,Medium,72,84108,Scheduled,Technician-D
MT0000254,AC00721,2026-01-14,Landing Gear,Critical,18,74321,Completed,Technician-B
MT0000255,AC00837,2026-04-14,Hydraulic Check,Medium,35,16953,Scheduled,Technician-D
MT0000256,AC00053,2026-03-06,Landing Gear,High,19,69484,Completed,Technician-C
MT0000257,AC00725,2026-06-07,Structural Inspection,Low,7,5113,Completed,Technician-B
MT0000258,AC00836,2026-07-01,Routine Service,High,21,66370,Completed,Technician-B
MT0000259,AC00163,2026-01-14,Landing Gear,Low,38,35983,Completed,Technician-C
MT0000260,AC00566,2026-05-08,Hydraulic Check,High,33,51388,Completed,Technician-A
MT0000261,AC00440,2026-05-10,Landing Gear,Low,16,17119,Completed,Technician-C
MT0000262,AC00042,2026-01-31,Landing Gear,Medium,20,54477,In Progress,Technician-A
MT0000263,AC00343,2026-06-29,Structural Inspection,Medium,65,52582,In Progress,Technician-B
MT0000264,AC00542,2026-02-06,Landing Gear,High,50,50181,In Progress,Technician-A
MT0000265,AC00091,2026-01-14,Landing Gear,Low,29,75210,Completed,Technician-C
MT0000266,AC00231,2026-03-08,Hydraulic Check,Low,50,19114,Completed,Technician-B
MT0000267,AC00180,2026-02-22,Routine Service,Medium,65,3102,In Progress,Technician-D
MT0000268,AC00230,2026-03-14,Structural Inspection,Low,30,14605,Scheduled,Technician-B
MT0000269,AC00474,2026-04-28,Avionics Inspection,Low,12,57070,In Progress,Technician-C
MT0000270,AC00100,2026-06-11,Routine Service,Critical,44,19666,Completed,Technician-D
MT0000271,AC00029,2026-02-19,Hydraulic Check,Critical,26,45158,Scheduled,Technician-D
MT0000272,AC01084,2026-01-24,Hydraulic Check,High,3,25465,Completed,Technician-B
MT0000273,AC00566,2026-06-20,Structural Inspection,Medium,24,61673,Completed,Technician-D
MT0000274,AC01010,2026-04-09,Engine Inspection,Low,57,30594,Completed,Technician-A
MT0000275,AC00047,2026-05-07,Structural Inspection,High,35,15343,Scheduled,Technician-D
MT0000276,AC01090,2026-05-29,Structural Inspection,Medium,72,40805,In Progress,Technician-C
MT0000277,AC00694,2026-06-27,Hydraulic Check,Low,65,62178,Completed,Technician-C
MT0000278,AC00115,2026-02-12,Avionics Inspection,High,63,12586,Scheduled,Technician-B
MT0000279,AC00014,2026-01-14,Avionics Inspection,Low,69,80177,Completed,Technician-C
MT0000280,AC00247,2026-04-14,Landing Gear,High,70,59016,In Progress,Technician-B
MT0000281,AC00951,2026-02-19,Routine Service,Low,54,27121,Scheduled,Technician-D
MT0000282,AC00003,2026-04-23,Avionics Inspection,Low,6,84047,In Progress,Technician-C
MT0000283,AC00596,2026-03-01,Avionics Inspection,Medium,65,11227,Completed,Technician-A
MT0000284,AC00123,2026-06-10,Routine Service,Low,41,40481,In Progress,Technician-B
MT0000285,AC01137,2026-06-28,Structural Inspection,Medium,7,45055,In Progress,Technician-B
MT0000286,AC00045,2026-05-25,Structural Inspection,Low,35,43643,Scheduled,Technician-D
MT0000287,AC00502,2026-06-20,Engine Inspection,Critical,51,12825,Completed,Technician-A
MT0000288,AC00395,2026-05-18,Hydraulic Check,Medium,51,18037,In Progress,Technician-D
MT0000289,AC00992,2026-06-02,Routine Service,Medium,34,43282,Completed,Technician-D
MT0000290,AC00445,2026-04-20,Routine Service,Medium,4,45082,Completed,Technician-C
MT0000291,AC00693,2026-04-08,Structural Inspection,Medium,41,24496,Scheduled,Technician-A
MT0000292,AC00362,2026-02-14,Structural Inspection,Low,14,22046,Completed,Technician-A
MT0000293,AC00145,2026-04-13,Hydraulic Check,Medium,40,3330,Scheduled,Technician-D
MT0000294,AC00631,2026-05-04,Structural Inspection,Low,8,50967,Completed,Technician-C
MT0000295,AC00904,2026-01-26,Routine Service,Medium,59,41417,In Progress,Technician-A
MT0000296,AC00945,2026-02-11,Avionics Inspection,Low,40,70469,Completed,Technician-D
MT0000297,AC00677,2026-05-12,Hydraulic Check,Low,43,24903,In Progress,Technician-A
MT0000298,AC00362,2026-02-06,Routine Service,Low,11,72751,Scheduled,Technician-C
MT0000299,AC00472,2026-04-13,Engine Inspection,High,11,32267,Completed,Technician-C
MT0000300,AC00033,2026-01-02,Landing Gear,High,50,80602,Completed,Technician-A
MT0000301,AC00691,2026-06-24,Routine Service,Low,60,81162,In Progress,Technician-B
MT0000302,AC00191,2026-03-24,Structural Inspection,Low,64,20820,Completed,Technician-D
MT0000303,AC00841,2026-04-23,Routine Service,Medium,23,24863,Completed,Technician-C
MT0000304,AC01163,2026-06-11,Hydraulic Check,Low,27,58895,In Progress,Technician-A
MT0000305,AC00735,2026-06-04,Structural Inspection,Low,42,60889,Scheduled,Technician-B
MT0000306,AC00927,2026-01-23,Avionics Inspection,Medium,11,14543,In Progress,Technician-D
MT0000307,AC00464,2026-03-15,Routine Service,Low,15,54716,In Progress,Technician-B
MT0000308,AC00189,2026-02-18,Landing Gear,High,52,70102,Scheduled,Technician-C
MT0000309,AC00221,2026-04-05,Avionics Inspection,Medium,59,19678,In Progress,Technician-C
MT0000310,AC00979,2026-02-06,Hydraulic Check,Medium,20,1545,Completed,Technician-B
