incident_id,flight_id,aircraft_id,incident_timestamp,incident_type,severity,resolution_status,airport
IN0000027,FL0012439,AC00215,2026-05-09 01:20:00,Hydraulic Leak,Medium,Closed,BLR
IN0000028,FL0000519,AC00822,2026-01-07 11:57:00,Engine Alert,Low,Closed,DFW
IN0000029,FL0009581,AC01187,2026-06-07 03:04:00,Turbulence,Medium,Resolved,BLR
IN0000030,FL0009012,AC00391,2026-04-27 16:41:00,Hydraulic Leak,Low,Investigating,SIN
IN0000031,FL0003109,AC00521,2026-03-01 09:16:00,Bird Strike,Medium,Closed,LAX
IN0000032,FL0011876,AC00801,2026-03-20 13:32:00,Bird Strike,Medium,Resolved,LHR
IN0000033,FL0007168,AC00110,2026-01-12 05:17:00,Navigation Error,Low,Closed,ATL
IN0000034,FL0011254,AC00277,2026-04-10 19:59:00,Bird Strike,Low,Open,SEA
IN0000035,FL0006412,AC01156,2026-06-17 12:04:00,Bird Strike,Low,Investigating,DXB
IN0000036,FL0005459,AC00829,2026-03-25 18:26:00,Weather Alert,High,Resolved,LHR
IN0000037,FL0014376,AC00636,2026-04-16 10:55:00,Navigation Error,Low,Investigating,MIA
IN0000038,FL0007193,AC00692,2026-05-20 15:21:00,Navigation Error,High,Open,BOS
IN0000039,FL0003260,AC00362,2026-06-24 23:16:00,Brake Issue,Medium,Open,SEA
IN0000040,FL0004426,AC00210,2026-05-04 19:38:00,Hydraulic Leak,High,Open,SFO
IN0000041,FL0009877,AC00569,2026-02-14 02:15:00,Brake Issue,Low,Resolved,DFW
IN0000042,FL0001392,AC00167,2026-05-14 19:40:00,Hydraulic Leak,Medium,Resolved,DEN
IN0000043,FL0000467,AC00122,2026-03-20 05:40:00,Weather Alert,Low,Resolved,DEN
IN0000044,FL0008252,AC00405,2026-04-02 14:27:00,Brake Issue,Low,Resolved,ORD
IN0000045,FL0011561,AC00153,2026-04-28 07:23:00,Navigation Error,Medium,Resolved,MIA
IN0000046,FL0002171,AC01162,2026-05-27 22:40:00,Brake Issue,Low,Resolved,MIA
IN0000047,FL0011356,AC00128,2026-01-23 08:00:00,Hydraulic Leak,Medium,Open,JFK
IN0000048,FL0012836,AC00401,2026-03-30 22:43:00,Engine Alert,Medium,Resolved,ATL
IN0000049,FL0002627,AC00301,2026-06-12 04:45:00,Brake Issue,Low,Closed,ATL
IN0000050,FL0006800,AC00350,2026-05-03 03:55:00,Hydraulic Leak,Low,Open,DEL
IN0000051,FL0009332,AC00429,2026-03-21 11:03:00,Brake Issue,Low,Resolved,LAX
IN0000052,FL0009723,AC00318,2026-06-06 12:22:00,Bird Strike,Medium,Resolved,DXB
IN0000053,FL0009233,AC01007,2026-06-03 04:42:00,Engine Alert,Low,Closed,LHR
IN0000054,FL0005507,AC01175,2026-06-04 06:14:00,Turbulence,Medium,Open,LAX
IN0000055,FL0006312,AC01144,2026-02-18 23:46:00,Bird Strike,Low,Closed,DEN
IN0000056,FL0009280,AC01198,2026-06-21 14:29:00,Navigation Error,Medium,Resolved,SIN
IN0000057,FL0005547,AC00464,2026-04-12 04:57:00,Turbulence,Low,Closed,DFW
IN0000058,FL0005126,AC00443,2026-02-14 02:19:00,Weather Alert,Medium,Investigating,JFK
IN0000059,FL0007492,AC00655,2026-03-12 19:13:00,Brake Issue,Low,Open,SFO
IN0000060,FL0011531,AC00488,2026-06-30 01:11:00,Navigation Error,Medium,Closed,JFK
IN0000061,FL0010946,AC00357,2026-06-03 09:03:00,Weather Alert,Medium,Closed,BLR
IN0000062,FL0004023,AC00757,2026-01-23 19:13:00,Hydraulic Leak,Low,Closed,LAX
IN0000063,FL0014901,AC00452,2026-05-16 15:57:00,Bird Strike,Low,Closed,DXB
IN0000064,FL0000691,AC00910,2026-02-20 13:44:00,Engine Alert,Low,Closed,DFW
IN0000065,FL0000185,AC00761,2026-04-27 08:09:00,Turbulence,Low,Closed,BOS
IN0000066,FL0000794,AC00317,2026-06-11 00:41:00,Weather Alert,Low,Investigating,DFW
IN0000067,FL0014210,AC00219,2026-05-09 00:59:00,Navigation Error,Low,Open,ORD
IN0000068,FL0002256,AC00736,2026-01-08 12:49:00,Bird Strike,Medium,Resolved,BOS
IN0000069,FL0009223,AC01150,2026-02-14 06:22:00,Engine Alert,Medium,Open,DFW
IN0000070,FL0011207,AC00342,2026-05-02 17:18:00,Navigation Error,High,Closed,ORD
IN0000071,FL0011634,AC00950,2026-02-18 00:52:00,Navigation Error,Low,Resolved,ATL
IN0000072,FL0009794,AC01042,2026-05-23 03:18:00,Engine Alert,Medium,Investigating,BLR
IN0000073,FL0006147,AC00774,2026-03-21 15:13:00,Hydraulic Leak,Low,Closed,SEA
IN0000074,FL0006911,AC00196,2026-05-30 17:27:00,Hydraulic Leak,Low,Open,LAX
IN0000075,FL0008771,AC00722,2026-04-12 02:27:00,Navigation Error,Medium,Resolved,DEL
IN0000076,FL0001973,AC00722,2026-05-26 22:41:00,Bird Strike,Low,Resolved,SEA
IN0000077,FL0008401,AC00497,2026-06-16 06:24:00,Bird Strike,High,Open,DEL
IN0000078,FL0003997,AC00652,2026-06-02 14:30:00,Navigation Error,Medium,Open,SFO
IN0000079,FL0013831,AC01014,2026-06-22 13:46:00,Brake Issue,Low,Open,BLR
IN0000080,FL0010174,AC00261,2026-05-06 11:31:00,Weather Alert,Medium,Resolved,SIN
IN0000081,FL0011253,AC01188,2026-01-29 17:32:00,Hydraulic Leak,Low,Resolved,BLR
IN0000082,FL0013582,AC00780,2026-03-17 03:34:00,Weather Alert,Low,Resolved,LHR
IN0000083,FL0013610,AC00418,2026-01-18 09:59:00,Navigation Error,High,Investigating,ORD
IN0000084,FL0009333,AC00898,2026-05-29 19:14:00,Engine Alert,Medium,Open,DEL
IN0000085,FL0014657,AC01013,2026-01-14 01:47:00,Navigation Error,Low,Closed,JFK
IN0000086,FL0000284,AC01181,2026-01-17 21:36:00,Weather Alert,Medium,Investigating,MIA
IN0000087,FL0009913,AC00719,2026-06-09 19:18:00,Hydraulic Leak,Low,Resolved,ATL
IN0000088,FL0014371,AC01167,2026-03-21 18:24:00,Bird Strike,Low,Open,BLR
IN0000089,FL0011348,AC00296,2026-01-29 05:51:00,Navigation Error,Low,Resolved,SEA
IN0000090,FL0004417,AC00900,2026-02-16 12:26:00,Brake Issue,Medium,Open,DEL
IN0000091,FL0006573,AC00240,2026-05-13 01:32:00,Bird Strike,Medium,Investigating,LAX
IN0000092,FL0005700,AC00503,2026-06-05 03:31:00,Engine Alert,High,Resolved,LAX
IN0000093,FL0000343,AC00342,2026-04-20 22:45:00,Engine Alert,Low,Open,DEN
IN0000094,FL0012354,AC00698,2026-02-06 11:22:00,Weather Alert,Low,Open,DFW
IN0000095,FL0007111,AC00977,2026-01-10 20:24:00,Turbulence,Low,Resolved,SEA
IN0000096,FL0004647,AC00975,2026-06-13 08:31:00,Navigation Error,Low,Closed,ORD
IN0000097,FL0012976,AC00618,2026-03-21 09:03:00,Turbulence,Medium,Investigating,ATL
IN0000098,FL0000740,AC00808,2026-03-23 14:58:00,Hydraulic Leak,Low,Closed,SFO
IN0000099,FL0004719,AC01045,2026-06-04 10:29:00,Navigation Error,Low,Investigating,ATL
IN0000100,FL0003168,AC01075,2026-02-28 19:03:00,Turbulence,Low,Investigating,DEN
IN0000101,FL0004766,AC01158,2026-04-19 21:06:00,Engine Alert,Low,Resolved,ORD
IN0000102,FL0005246,AC00238,2026-04-23 16:13:00,Hydraulic Leak,High,Open,SIN
IN0000103,FL0001752,AC00594,2026-05-29 15:55:00,Engine Alert,Low,Investigating,LAX
IN0000104,FL0002953,AC00038,2026-04-07 23:54:00,Bird Strike,Low,Open,BOS
IN0000105,FL0003548,AC00262,2026-03-11 22:05:00,Engine Alert,Medium,Investigating,DFW
IN0000106,FL0001455,AC01059,2026-01-22 18:35:00,Turbulence,Critical,Investigating,SEA
IN0000107,FL0004008,AC00089,2026-02-11 21:20:00,Engine Alert,Low,Resolved,LAX
IN0000108,FL0013412,AC00294,2026-01-20 18:26:00,Weather Alert,Medium,Closed,SIN
IN0000109,FL0010503,AC01153,2026-06-22 10:19:00,Engine Alert,High,Resolved,DFW
IN0000110,FL0001267,AC00777,2026-01-24 10:04:00,Bird Strike,Medium,Closed,BLR
IN0000111,FL0010967,AC00718,2026-05-07 02:49:00,Engine Alert,Medium,Open,BOS
IN0000112,FL0011353,AC00477,2026-03-13 04:43:00,Weather Alert,High,Closed,ORD
IN0000113,FL0001560,AC00668,2026-06-29 19:26:00,Hydraulic Leak,Low,Investigating,SIN
IN0000114,FL0004866,AC00650,2026-06-09 23:21:00,Weather Alert,Low,Investigating,ORD
IN0000115,FL0014341,AC00115,2026-02-11 22:27:00,Bird Strike,Low,Open,ATL
IN0000116,FL0014570,AC01011,2026-01-02 22:47:00,Bird Strike,Medium,Closed,LHR
IN0000117,FL0002253,AC00756,2026-05-02 11:36:00,Engine Alert,Medium,Closed,DEN
IN0000118,FL0004102,AC00783,2026-04-08 11:29:00,Bird Strike,Low,Resolved,DFW
IN0000119,FL0007158,AC01082,2026-06-01 16:32:00,Turbulence,Low,Open,DEL
IN0000120,FL0003172,AC00414,2026-06-11 05:14:00,Weather Alert,Medium,Investigating,ATL
IN0000121,FL0001195,AC00777,2026-02-07 06:08:00,Weather Alert,Medium,Closed,SFO
IN0000122,FL0012825,AC00598,2026-05-18 03:50:00,Navigation Error,High,Open,SIN
IN0000123,FL0011349,AC00235,2026-03-16 16:44:00,Weather Alert,Low,Resolved,BOS
IN0000124,FL0011039,AC00349,2026-06-25 02:39:00,Brake Issue,Medium,Closed,DEN
IN0000125,FL0006598,AC00645,2026-01-16 22:30:00,Weather Alert,Low,Investigating,LHR
IN0000126,FL0011800,AC00395,2026-02-27 13:07:00,Hydraulic Leak,Low,Resolved,DXB
IN0000127,FL0014821,AC01039,2026-02-27 16:58:00,Engine Alert,Low,Closed,ORD
IN0000128,FL0007381,AC00844,2026-02-26 23:19:00,Bird Strike,Low,Investigating,MIA
IN0000129,FL0013516,AC00724,2026-05-18 23:52:00,Navigation Error,Medium,Investigating,MIA
IN0000130,FL0003383,AC00307,2026-03-25 18:51:00,Hydraulic Leak,Low,Closed,LAX
IN0000131,FL0002636,AC00695,2026-07-01 16:10:00,Turbulence,Low,Open,LAX
IN0000132,FL0012215,AC00907,2026-06-22 21:33:00,Weather Alert,Medium,Investigating,BOS
IN0000133,FL0001919,AC00293,2026-05-14 06:59:00,Engine Alert,Medium,Investigating,DEL
IN0000134,FL0007874,AC00121,2026-06-23 13:51:00,Hydraulic Leak,Low,Open,SFO
IN0000135,FL0011629,AC00988,2026-02-17 23:23:00,Navigation Error,Medium,Closed,MIA
IN0000136,FL0002726,AC00496,2026-06-05 16:17:00,Weather Alert,Low,Resolved,DEL
IN0000137,FL0004193,AC00791,2026-04-16 21:49:00,Turbulence,Low,Open,DXB
IN0000138,FL0007687,AC00447,2026-05-10 12:31:00,Hydraulic Leak,Critical,Investigating,JFK
IN0000139,FL0000089,AC00502,2026-03-15 00:43:00,Hydraulic Leak,Low,Resolved,MIA
IN0000140,FL0011859,AC00839,2026-05-17 15:10:00,Engine Alert,Medium,Open,JFK
IN0000141,FL0008060,AC01154,2026-03-27 20:05:00,Brake Issue,High,Investigating,MIA
IN0000142,FL0005478,AC00312,2026-06-05 20:07:00,Hydraulic Leak,Low,Investigating,SIN
IN0000143,FL0005330,AC00796,2026-03-02 13:52:00,Hydraulic Leak,Medium,Closed,DEN
IN0000144,FL0004551,AC00248,2026-02-07 16:27:00,Weather Alert,High,Investigating,DXB
IN0000145,FL0001644,AC00624,2026-03-08 09:50:00,Navigation Error,Critical,Investigating,JFK
IN0000146,FL0009529,AC00529,2026-04-26 03:52:00,Weather Alert,Low,Investigating,ORD
IN0000147,FL0003038,AC00159,2026-02-21 21:21:00,Engine Alert,Medium,Investigating,ATL
IN0000148,FL0004967,AC00714,2026-02-12 14:55:00,Weather Alert,Medium,Resolved,DXB
IN0000149,FL0002184,AC00263,2026-01-02 15:25:00,Weather Alert,High,Resolved,SEA
IN0000150,FL0011055,AC00585,2026-02-12 16:17:00,Engine Alert,High,Open,SFO
IN0000151,FL0006141,AC00924,2026-02-22 14:53:00,Weather Alert,High,Open,BOS
IN0000152,FL0006411,AC00679,2026-06-09 02:37:00,Navigation Error,Medium,Open,MIA
IN0000153,FL0005960,AC00985,2026-01-22 17:16:00,Bird Strike,Low,Open,SEA
IN0000154,FL0009612,AC00444,2026-01-08 06:23:00,Weather Alert,Low,Investigating,ATL
IN0000155,FL0009463,AC00112,2026-02-03 17:37:00,Navigation Error,Low,Open,JFK
IN0000156,FL0013031,AC00944,2026-05-17 20:59:00,Weather Alert,Medium,Investigating,BOS
IN0000157,FL0002794,AC00685,2026-01-10 02:44:00,Navigation Error,Medium,Investigating,BOS
IN0000158,FL0003733,AC00832,2026-02-10 03:29:00,Engine Alert,Low,Resolved,SFO
IN0000159,FL0014510,AC00002,2026-02-23 23:11:00,Hydraulic Leak,Medium,Open,DXB
IN0000160,FL0003235,AC00748,2026-04-25 14:55:00,Navigation Error,High,Resolved,DFW
IN0000161,FL0007497,AC00721,2026-05-05 08:45:00,Engine Alert,Medium,Closed,LHR
IN0000162,FL0011738,AC00936,2026-01-28 00:28:00,Bird Strike,Low,Resolved,MIA
IN0000163,FL0014643,AC00198,2026-04-26 09:37:00,Hydraulic Leak,Low,Open,LHR
IN0000164,FL0013638,AC00258,2026-06-24 17:23:00,Engine Alert,Medium,Resolved,LHR
IN0000165,FL0008034,AC00126,2026-02-24 13:37:00,Bird Strike,Medium,Investigating,SEA
IN0000166,FL0006176,AC00661,2026-06-27 23:46:00,Bird Strike,High,Investigating,ORD
IN0000167,FL0011687,AC00330,2026-03-09 13:46:00,Engine Alert,Medium,Investigating,DEL
IN0000168,FL0008574,AC00549,2026-01-02 23:47:00,Engine Alert,Low,Closed,SEA
IN0000169,FL0003713,AC00331,2026-03-18 09:25:00,Navigation Error,Medium,Open,LAX
IN0000170,FL0000189,AC01168,2026-01-30 09:04:00,Turbulence,Low,Investigating,BLR
IN0000171,FL0009913,AC00823,2026-01-29 08:06:00,Engine Alert,Low,Closed,SIN
IN0000172,FL0013981,AC00909,2026-05-15 13:30:00,Weather Alert,Medium,Open,DEN
IN0000173,FL0013727,AC00045,2026-02-25 06:46:00,Hydraulic Leak,Low,Closed,DXB
IN0000174,FL0000606,AC00506,2026-01-08 23:15:00,Bird Strike,Medium,Resolved,BOS
IN0000175,FL0012566,AC00087,2026-02-17 11:09:00,Brake Issue,Low,Resolved,ATL
IN0000176,FL0005172,AC00012,2026-04-09 13:25:00,Bird Strike,High,Resolved,ORD
IN0000177,FL0005731,AC01087,2026-06-12 09:26:00,Brake Issue,High,Resolved,ATL
IN0000178,FL0011645,AC00684,2026-04-15 23:18:00,Hydraulic Leak,High,Resolved,LHR
IN0000179,FL0012644,AC00370,2026-04-21 19:34:00,Brake Issue,Low,Open,DEN
IN0000180,FL0010860,AC01142,2026-03-14 23:49:00,Brake Issue,Low,Resolved,SFO
IN0000181,FL0012405,AC00594,2026-02-08 05:51:00,Turbulence,Medium,Closed,DFW
IN0000182,FL0009453,AC00719,2026-01-22 22:57:00,Engine Alert,High,Closed,MIA
IN0000183,FL0006027,AC01089,2026-04-28 05:27:00,Navigation Error,Low,Open,JFK
IN0000184,FL0002500,AC00296,2026-03-30 18:38:00,Engine Alert,Low,Resolved,DFW
IN0000185,FL0009635,AC00853,2026-01-23 02:59:00,Navigation Error,Medium,Resolved,JFK
IN0000186,FL0001321,AC00198,2026-02-03 12:25:00,Brake Issue,Critical,Open,MIA
IN0000187,FL0010803,AC00691,2026-04-04 07:15:00,Brake Issue,Low,Open,SIN
IN0000188,FL0001781,AC00207,2026-03-29 20:21:00,Bird Strike,Medium,Closed,MIA
IN0000189,FL0003576,AC00032,2026-01-06 23:28:00,Bird Strike,Low,Investigating,LHR
IN0000190,FL0005299,AC00698,2026-06-05 18:59:00,Engine Alert,Medium,Closed,MIA
IN0000191,FL0009942,AC01017,2026-04-16 09:12:00,Bird Strike,Medium,Resolved,SFO
IN0000192,FL0009560,AC00003,2026-03-28 14:17:00,Hydraulic Leak,Low,Open,SIN
IN0000193,FL0010534,AC00637,2026-05-03 04:53:00,Brake Issue,Low,Investigating,BLR
IN0000194,FL0000496,AC01031,2026-06-21 07:11:00,Hydraulic Leak,Low,Open,JFK
IN0000195,FL0002072,AC00041,2026-06-22 07:51:00,Turbulence,Low,Open,LAX
IN0000196,FL0004059,AC00251,2026-06-25 00:38:00,Brake Issue,Medium,Resolved,DFW
IN0000197,FL0001540,AC01008,2026-02-06 13:49:00,Weather Alert,Low,Open,SEA
IN0000198,FL0012492,AC00091,2026-04-28 03:14:00,Hydraulic Leak,Medium,Open,ATL
IN0000199,FL0008047,AC00671,2026-02-15 19:59:00,Turbulence,High,Resolved,BLR
IN0000200,FL0014042,AC01179,2026-01-26 08:38:00,Hydraulic Leak,Low,Open,BLR
IN0000201,FL0011060,AC00763,2026-06-28 17:03:00,Bird Strike,High,Open,LHR
IN0000202,FL0004161,AC00092,2026-03-04 15:10:00,Bird Strike,Medium,Investigating,DEL
IN0000203,FL0003034,AC00548,2026-06-13 12:54:00,Brake Issue,Medium,Investigating,DEL
IN0000204,FL0001258,AC01185,2026-05-16 05:51:00,Bird Strike,High,Investigating,SEA
IN0000205,FL0000038,AC01052,2026-03-28 13:46:00,Engine Alert,Low,Resolved,DXB
IN0000206,FL0001551,AC00565,2026-04-15 20:13:00,Navigation Error,Medium,Open,ORD
IN0000207,FL0004615,AC00544,2026-02-27 13:10:00,Turbulence,Low,Resolved,LAX
IN0000208,FL0000033,AC00181,2026-01-21 22:35:00,Brake Issue,Low,Open,BLR
IN0000209,FL0008633,AC01096,2026-01-29 15:37:00,Navigation Error,Low,Closed,LHR
IN0000210,FL0014193,AC00493,2026-04-24 15:06:00,Navigation Error,Low,Investigating,DFW
IN0000211,FL0006339,AC00139,2026-01-01 10:36:00,Hydraulic Leak,Low,Investigating,DEN
IN0000212,FL0000777,AC00641,2026-06-07 15:58:00,Weather Alert,Low,Investigating,LHR
IN0000213,FL0003662,AC00872,2026-04-13 10:38:00,Brake Issue,Low,Investigating,ATL
IN0000214,FL0001760,AC00873,2026-02-04 07:42:00,Brake Issue,High,Open,LAX
IN0000215,FL0000785,AC00747,2026-01-17 17:11:00,Hydraulic Leak,High,Resolved,DEN
IN0000216,FL0010320,AC00035,2026-02-26 09:10:00,Brake Issue,Low,Closed,ATL
IN0000217,FL0014633,AC00849,2026-03-04 01:28:00,Turbulence,Low,Open,DEN
IN0000218,FL0013323,AC00460,2026-06-24 21:24:00,Hydraulic Leak,Low,Resolved,SEA
IN0000219,FL0001372,AC00786,2026-02-11 13:30:00,Turbulence,Medium,Closed,SFO
IN0000220,FL0011555,AC00771,2026-02-24 03:46:00,Hydraulic Leak,Low,Investigating,DEN
IN0000221,FL0005297,AC00146,2026-02-05 20:34:00,Turbulence,Low,Investigating,DXB
IN0000222,FL0008999,AC00714,2026-03-06 10:58:00,Turbulence,Low,Investigating,LAX
IN0000223,FL0000347,AC00820,2026-02-17 12:41:00,Bird Strike,Medium,Resolved,BLR
IN0000224,FL0000672,AC01098,2026-03-30 11:45:00,Brake Issue,Low,Closed,SEA
IN0000225,FL0013274,AC00905,2026-02-19 01:18:00,Hydraulic Leak,Medium,Resolved,BOS
IN0000226,FL0007351,AC00067,2026-06-14 04:53:00,Weather Alert,Low,Open,ORD
IN0000227,FL0005543,AC00316,2026-01-26 07:06:00,Weather Alert,Medium,Investigating,BLR
IN0000228,FL0003775,AC00286,2026-02-08 06:20:00,Weather Alert,Medium,Resolved,SEA
IN0000229,FL0009585,AC00060,2026-04-11 11:01:00,Brake Issue,Medium,Closed,ORD
IN0000230,FL0006331,AC00810,2026-01-22 08:05:00,Bird Strike,Medium,Closed,ATL
IN0000231,FL0004116,AC00072,2026-03-09 04:06:00,Bird Strike,High,Investigating,SFO
IN0000232,FL0008297,AC00953,2026-01-30 15:21:00,Navigation Error,Low,Resolved,BLR
IN0000233,FL0010694,AC00605,2026-05-17 15:29:00,Navigation Error,Low,Resolved,DEN
IN0000234,FL0002460,AC00168,2026-01-27 19:35:00,Engine Alert,Low,Resolved,ORD
IN0000235,FL0009635,AC00393,2026-02-22 18:10:00,Weather Alert,Low,Resolved,ATL
IN0000236,FL0001681,AC00350,2026-01-13 12:20:00,Weather Alert,Low,Resolved,DEN
IN0000237,FL0001689,AC00197,2026-02-20 15:37:00,Bird Strike,Low,Resolved,DEL
IN0000238,FL0011527,AC00160,2026-03-02 18:13:00,Hydraulic Leak,Low,Closed,SFO
IN0000239,FL0013864,AC01103,2026-03-14 06:38:00,Weather Alert,Medium,Investigating,ATL
IN0000240,FL0012665,AC00714,2026-02-06 13:19:00,Turbulence,Low,Open,SFO
IN0000241,FL0013889,AC00230,2026-04-29 02:26:00,Brake Issue,Medium,Resolved,ATL
IN0000242,FL0006147,AC00184,2026-06-07 15:52:00,Turbulence,Medium,Open,BLR
IN0000243,FL0010334,AC00536,2026-04-30 00:21:00,Engine Alert,Low,Open,LHR
IN0000244,FL0010413,AC01097,2026-03-07 18:05:00,Navigation Error,Medium,Investigating,ORD
IN0000245,FL0001870,AC00219,2026-05-02 15:36:00,Hydraulic Leak,Medium,Closed,MIA
IN0000246,FL0006332,AC00449,2026-03-07 23:54:00,Engine Alert,Medium,Open,SEA
IN0000247,FL0012084,AC00681,2026-06-18 17:07:00,Brake Issue,Medium,Investigating,ORD
IN0000248,FL0010902,AC00843,2026-05-30 23:29:00,Brake Issue,High,Closed,DXB
IN0000249,FL0011209,AC00792,2026-06-16 17:22:00,Navigation Error,Critical,Investigating,SEA
IN0000250,FL0003962,AC01141,2026-06-15 17:11:00,Hydraulic Leak,Medium,Resolved,ATL
IN0000251,FL0004169,AC00615,2026-01-20 07:48:00,Turbulence,Low,Resolved,ORD
IN0000252,FL0002969,AC00027,2026-05-23 18:29:00,Bird Strike,Medium,Resolved,DFW
IN0000253,FL0004324,AC01180,2026-05-31 00:58:00,Hydraulic Leak,Low,Resolved,BOS
IN0000254,FL0004922,AC01098,2026-02-27 23:46:00,Weather Alert,Low,Closed,BOS
IN0000255,FL0009300,AC00176,2026-02-17 02:34:00,Weather Alert,High,Open,ATL
IN0000256,FL0009859,AC00352,2026-06-19 10:23:00,Brake Issue,Medium,Resolved,DEL
IN0000257,FL0009700,AC00680,2026-05-05 17:10:00,Brake Issue,Critical,Open,LHR
IN0000258,FL0000303,AC00846,2026-06-18 22:02:00,Bird Strike,Low,Open,BLR
IN0000259,FL0001124,AC01140,2026-06-15 09:48:00,Engine Alert,Medium,Investigating,ORD
IN0000260,FL0008252,AC00244,2026-05-11 01:32:00,Brake Issue,Low,Investigating,BOS
IN0000261,FL0012207,AC00107,2026-06-03 12:37:00,Turbulence,Medium,Resolved,DEN
IN0000262,FL0010737,AC00142,2026-04-03 11:30:00,Navigation Error,Medium,Open,SFO
IN0000263,FL0009396,AC00317,2026-04-21 20:21:00,Weather Alert,Medium,Resolved,MIA
IN0000264,FL0009864,AC00138,2026-04-06 18:24:00,Weather Alert,Medium,Closed,SIN
IN0000265,FL0014475,AC00264,2026-04-01 02:03:00,Weather Alert,Low,Open,ATL
IN0000266,FL0013001,AC00758,2026-06-10 03:21:00,Weather Alert,Low,Investigating,BLR
IN0000267,FL0006660,AC00927,2026-01-16 07:50:00,Bird Strike,Low,Closed,LHR
IN0000268,FL0014292,AC01148,2026-04-05 17:03:00,Navigation Error,High,Closed,DEN
IN0000269,FL0005483,AC00711,2026-04-23 23:16:00,Engine Alert,Critical,Open,JFK
IN0000270,FL0004226,AC00104,2026-04-25 10:45:00,Engine Alert,Medium,Investigating,BOS
IN0000271,FL0000434,AC00034,2026-03-01 03:24:00,Bird Strike,Low,Investigating,BLR
IN0000272,FL0013803,AC00523,2026-03-01 13:28:00,Navigation Error,Medium,Resolved,SFO
IN0000273,FL0006052,AC01129,2026-04-08 02:51:00,Weather Alert,Low,Investigating,SIN
IN0000274,FL0011816,AC00319,2026-04-29 14:44:00,Brake Issue,High,Investigating,SIN
IN0000275,FL0006893,AC00348,2026-04-16 23:02:00,Weather Alert,Low,Investigating,LHR
IN0000276,FL0003094,AC00137,2026-04-10 04:19:00,Turbulence,Low,Open,ORD
IN0000277,FL0003164,AC00704,2026-01-26 05:39:00,Engine Alert,Medium,Investigating,JFK
IN0000278,FL0000101,AC01131,2026-02-23 18:50:00,Engine Alert,Low,Closed,LHR
IN0000279,FL0012815,AC00620,2026-01-29 14:33:00,Hydraulic Leak,Low,Closed,DXB
IN0000280,FL0005432,AC00007,2026-01-21 07:59:00,Weather Alert,Medium,Open,LAX
IN0000281,FL0011577,AC00323,2026-02-12 10:12:00,Engine Alert,Low,Open,DEL
IN0000282,FL0013869,AC01085,2026-03-14 16:53:00,Engine Alert,Low,Investigating,DXB
IN0000283,FL0004359,AC00352,2026-03-06 22:20:00,Bird Strike,Low,Resolved,ATL
IN0000284,FL0008999,AC00365,2026-05-16 16:48:00,Navigation Error,Medium,Investigating,ORD
IN0000285,FL0000366,AC01022,2026-06-07 15:20:00,Weather Alert,High,Closed,ATL
